gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000018733	20	1	3	3
ENSMUSG00000022037	19	2	10	9
ENSMUSG00000085260	3	0	13	0
ENSMUSG00000029610	9	1	17	4
ENSMUSG00000042185	12	5	5	7
ENSMUSG00000067525	22	0	0	0
ENSMUSG00000006021	9	1	3	4
ENSMUSG00000046408	13	0	19	6
ENSMUSG00000020599	16	0	19	6
ENSMUSG00000030775	16	0	19	6
ENSMUSG00000015149	24	3	4	2
ENSMUSG00000046434	7	7	6	11
ENSMUSG00000031377	13	10	0	1
ENSMUSG00000031774	2	1	3	3
ENSMUSG00000096840	3	0	14	0
ENSMUSG00000050627	15	2	4	2
ENSMUSG00000031878	0	9	1	10
ENSMUSG00000030322	16	0	19	6
ENSMUSG00000029541	3	0	14	0
ENSMUSG00000020696	12	8	1	7
ENSMUSG00000097162	21	1	17	4
ENSMUSG00000113189	1	0	15	1
ENSMUSG00000045201	22	0	7	0
ENSMUSG00000058513	22	0	0	0
ENSMUSG00000059479	21	1	2	4
ENSMUSG00000077239	22	0	7	0
ENSMUSG00000031755	14	0	19	6
ENSMUSG00000076253	3	0	9	0
ENSMUSG00000038379	1	0	15	1
ENSMUSG00000002109	14	4	5	5
ENSMUSG00000041840	8	4	5	5
ENSMUSG00000049691	3	0	9	0
ENSMUSG00000021555	24	3	4	2
ENSMUSG00000022814	24	2	4	2
ENSMUSG00000028782	22	0	0	0
ENSMUSG00000095028	13	0	19	6
ENSMUSG00000057223	3	0	9	0
ENSMUSG00000034413	10	10	2	12
ENSMUSG00000087579	7	7	6	11
ENSMUSG00000025127	6	2	8	9
ENSMUSG00000030222	16	0	19	6
ENSMUSG00000040133	22	0	0	0
ENSMUSG00000027845	21	1	17	4
ENSMUSG00000028003	15	2	4	2
ENSMUSG00000030054	13	10	0	1
ENSMUSG00000093980	3	0	9	0
ENSMUSG00000034227	1	10	15	1
ENSMUSG00000003435	0	9	1	10
ENSMUSG00000049280	10	10	2	12
ENSMUSG00000022309	21	1	2	4
ENSMUSG00000093460	22	0	0	0
ENSMUSG00000075064	3	0	9	0
ENSMUSG00000029684	15	2	4	2
ENSMUSG00000027531	7	7	6	11
ENSMUSG00000091541	1	0	15	1
ENSMUSG00000031565	14	0	5	5
ENSMUSG00000101078	3	0	14	0
ENSMUSG00000070047	15	2	8	2
ENSMUSG00000030057	6	2	8	9
ENSMUSG00000050121	22	0	0	0
ENSMUSG00000024353	1	10	15	1
ENSMUSG00000060002	6	2	8	9
ENSMUSG00000054406	3	0	9	0
ENSMUSG00000065569	3	0	11	0
ENSMUSG00000034471	9	1	17	4
ENSMUSG00000028246	22	0	0	0
ENSMUSG00000092815	3	0	14	0
ENSMUSG00000022749	24	3	4	2
ENSMUSG00000029919	16	0	19	6
ENSMUSG00000000739	21	0	2	4
ENSMUSG00000037020	4	1	2	4
ENSMUSG00000035933	23	2	4	2
ENSMUSG00000116611	22	0	12	0
ENSMUSG00000059639	22	0	16	0
ENSMUSG00000028359	8	5	5	5
ENSMUSG00000021464	22	0	7	0
ENSMUSG00000044338	1	0	0	1
ENSMUSG00000002633	1	0	15	1
ENSMUSG00000069722	22	0	16	0
ENSMUSG00000067713	24	3	4	2
ENSMUSG00000021591	7	7	6	11
ENSMUSG00000069184	14	4	5	5
ENSMUSG00000027171	1	0	15	1
ENSMUSG00000031539	4	1	2	4
ENSMUSG00000075145	3	0	9	0
ENSMUSG00000022221	10	10	2	12
ENSMUSG00000063386	1	0	0	1
ENSMUSG00000056782	4	0	2	4
ENSMUSG00000025410	7	7	6	11
ENSMUSG00000027332	6	2	8	9
ENSMUSG00000025268	9	1	17	4
ENSMUSG00000026519	8	5	5	5
ENSMUSG00000043323	9	1	17	4
ENSMUSG00000060803	6	2	8	9
ENSMUSG00000026117	24	3	4	2
ENSMUSG00000073906	3	0	13	0
ENSMUSG00000098912	16	0	19	6
ENSMUSG00000062175	1	0	15	1
ENSMUSG00000028035	23	2	4	2
ENSMUSG00000039656	2	3	3	3
ENSMUSG00000024955	12	5	1	7
ENSMUSG00000018921	9	1	17	4
ENSMUSG00000047751	3	0	9	0
ENSMUSG00000032257	3	0	9	0
ENSMUSG00000015342	21	1	17	4
ENSMUSG00000059623	13	0	19	6
ENSMUSG00000047904	13	10	0	1
ENSMUSG00000001348	15	2	4	2
ENSMUSG00000027965	14	4	5	5
ENSMUSG00000031891	22	0	0	0
ENSMUSG00000069089	2	3	3	3
ENSMUSG00000027186	16	0	19	6
ENSMUSG00000030934	19	2	10	9
ENSMUSG00000040037	1	0	0	1
ENSMUSG00000055720	2	3	3	3
ENSMUSG00000060688	3	0	9	0
ENSMUSG00000050213	20	1	3	3
ENSMUSG00000054423	13	0	0	1
ENSMUSG00000053914	22	0	7	0
ENSMUSG00000017211	1	0	0	1
ENSMUSG00000097520	1	0	15	1
ENSMUSG00000019944	6	2	8	9
ENSMUSG00000034893	0	9	1	10
ENSMUSG00000034269	7	7	6	11
ENSMUSG00000044339	11	0	19	6
ENSMUSG00000027575	2	3	3	3
ENSMUSG00000085162	1	0	0	1
ENSMUSG00000040247	17	10	15	8
ENSMUSG00000090862	6	2	8	9
ENSMUSG00000023106	24	2	4	2
ENSMUSG00000075201	3	0	9	0
ENSMUSG00000054598	16	0	19	6
ENSMUSG00000006276	2	1	3	3
ENSMUSG00000038199	3	0	11	0
ENSMUSG00000060187	22	0	16	0
ENSMUSG00000047502	22	0	0	0
ENSMUSG00000059689	20	1	3	3
ENSMUSG00000036737	0	9	1	10
ENSMUSG00000033379	15	2	4	2
ENSMUSG00000040749	17	0	15	8
ENSMUSG00000096714	22	0	0	0
ENSMUSG00000112223	3	0	13	0
ENSMUSG00000039936	21	1	17	4
ENSMUSG00000062433	3	0	9	0
ENSMUSG00000060450	15	2	4	2
ENSMUSG00000091204	3	0	9	0
ENSMUSG00000075113	22	0	0	0
ENSMUSG00000027530	1	0	15	1
ENSMUSG00000041135	8	4	5	5
ENSMUSG00000018340	6	2	8	9
ENSMUSG00000017299	8	4	5	5
ENSMUSG00000057230	24	3	4	2
ENSMUSG00000056901	3	0	9	0
ENSMUSG00000041079	20	1	17	3
ENSMUSG00000030127	0	9	1	10
ENSMUSG00000055971	3	0	13	0
ENSMUSG00000066149	0	9	1	10
ENSMUSG00000032563	0	9	1	10
ENSMUSG00000027244	12	8	1	7
ENSMUSG00000028523	3	0	13	0
ENSMUSG00000038762	7	7	1	11
ENSMUSG00000077972	3	0	9	0
ENSMUSG00000027784	24	3	4	2
ENSMUSG00000026792	9	1	17	4
ENSMUSG00000059201	22	0	0	0
ENSMUSG00000022724	12	8	1	7
ENSMUSG00000078716	10	10	2	12
ENSMUSG00000054901	22	0	7	0
ENSMUSG00000045648	22	0	12	0
ENSMUSG00000020524	22	0	7	0
ENSMUSG00000017774	0	7	1	10
ENSMUSG00000091863	3	0	13	0
ENSMUSG00000065422	3	0	13	0
ENSMUSG00000077457	22	0	7	0
ENSMUSG00000059031	1	0	0	1
ENSMUSG00000032192	17	10	15	8
ENSMUSG00000031410	22	0	0	0
ENSMUSG00000002910	20	1	17	3
ENSMUSG00000023947	4	1	17	4
ENSMUSG00000031125	22	0	0	0
ENSMUSG00000039477	2	3	3	3
ENSMUSG00000022707	6	2	8	9
ENSMUSG00000047594	22	0	7	0
ENSMUSG00000052364	16	0	19	6
ENSMUSG00000034730	3	0	14	0
ENSMUSG00000031753	7	7	6	11
ENSMUSG00000036169	3	0	14	0
