gene_id	x	y	consensus
ENSMUSG00000022749	-0.024559975	0.018286705	4
ENSMUSG00000029919	-0.11235821	-0.039172888	3
ENSMUSG00000000739	-0.110641	-0.03859508	8
ENSMUSG00000037020	-0.10882491	-0.037125587	8
ENSMUSG00000035933	-0.001593411	0.030132055	4
ENSMUSG00000059639	-0.11594528	-0.041723847	9
ENSMUSG00000028359	-0.090195775	-0.023530483	6
ENSMUSG00000021464	-0.115839064	-0.041642904	0
ENSMUSG00000044338	-0.11533642	-0.041390896	0
ENSMUSG00000002633	-0.11566448	-0.041455388	0
ENSMUSG00000067713	-0.04452336	0.010129929	2
ENSMUSG00000021591	0.011430502	0.04367876	4
ENSMUSG00000069184	-0.09834397	-0.028820157	1
ENSMUSG00000027171	-0.11585301	-0.04166603	0
ENSMUSG00000031539	-0.10847646	-0.036375284	8
ENSMUSG00000022221	-0.11210048	-0.03868735	3
ENSMUSG00000025410	0.1655407	0.12436247	7
ENSMUSG00000027332	0.25871384	0.149539	7
ENSMUSG00000025268	-0.080973685	-0.01627636	6
ENSMUSG00000026519	-0.06347257	-0.009166002	2
ENSMUSG00000043323	-0.09186131	-0.027039051	1
ENSMUSG00000060803	0.55036217	0.35412025	10
ENSMUSG00000026117	-0.048321784	0.023695946	2
ENSMUSG00000098912	-0.11561054	-0.041488886	0
ENSMUSG00000062175	-0.11388022	-0.040266633	3
ENSMUSG00000028035	-0.01428014	0.024631262	4
ENSMUSG00000039656	-0.068877816	-0.00951767	6
ENSMUSG00000024955	-0.064784944	0.0035161972	2
ENSMUSG00000018921	-0.092612326	-0.028247237	1
ENSMUSG00000032257	-0.11595619	-0.041737795	12
ENSMUSG00000015342	-0.09098196	-0.027282715	1
ENSMUSG00000047904	-0.11578828	-0.04157102	0
ENSMUSG00000001348	0.09119904	0.08826971	5
ENSMUSG00000027965	-0.09977299	-0.029151797	1
ENSMUSG00000031891	-0.115953386	-0.04173875	11
ENSMUSG00000069089	-0.07084668	-0.004815817	2
ENSMUSG00000027186	-0.11594063	-0.041728377	11
ENSMUSG00000030934	1.6641889	0.22362018	10
ENSMUSG00000040037	-0.11581093	-0.041597724	0
ENSMUSG00000055720	-0.05579281	-0.007302761	2
ENSMUSG00000050213	-0.08849424	-0.02227056	6
ENSMUSG00000054423	-0.11592615	-0.041698575	0
ENSMUSG00000053914	-0.11588353	-0.041712284	9
ENSMUSG00000097520	-0.11595374	-0.0417279	9
ENSMUSG00000019944	0.10442811	0.0770607	5
ENSMUSG00000034893	-0.055843472	-0.0003862381	2
ENSMUSG00000034269	0.075446784	0.063961744	5
ENSMUSG00000044339	-0.10902345	-0.036191583	8
ENSMUSG00000027575	-0.060050905	-0.005108118	2
ENSMUSG00000085162	-0.11595374	-0.0417279	9
ENSMUSG00000040247	-0.11349231	-0.039801955	3
ENSMUSG00000090862	0.22726354	0.23322058	7
ENSMUSG00000023106	0.011743844	0.039996862	4
ENSMUSG00000054598	-0.115548074	-0.041432023	0
ENSMUSG00000006276	-0.06699848	-0.010239363	6
ENSMUSG00000047502	-0.11579573	-0.0415864	0
ENSMUSG00000059689	-0.08019668	-0.015017509	6
ENSMUSG00000036737	-0.0034418106	0.030135632	4
ENSMUSG00000033379	0.07947272	0.12014055	5
ENSMUSG00000040749	-0.112775624	-0.03923273	3
ENSMUSG00000039936	-0.10503906	-0.033769608	1
ENSMUSG00000060450	0.097495556	0.09887886	5
ENSMUSG00000027530	-0.11514479	-0.041254163	0
ENSMUSG00000041135	-0.1001336	-0.029510498	1
ENSMUSG00000018340	0.32804725	0.18419886	7
ENSMUSG00000017299	-0.087385535	-0.023637652	6
ENSMUSG00000057230	-0.013834298	0.019947529	4
ENSMUSG00000041079	-0.09094459	-0.024609208	1
ENSMUSG00000030127	0.02321899	0.047179222	4
ENSMUSG00000066149	-0.049215913	0.015154362	2
ENSMUSG00000032563	-0.05347514	0.005954981	2
ENSMUSG00000027244	-0.045866966	-0.003301859	2
ENSMUSG00000038762	0.04687059	0.049319744	5
ENSMUSG00000027784	-0.035856366	0.0059154034	4
ENSMUSG00000026792	-0.0729416	-0.014795423	6
ENSMUSG00000059201	-0.115725875	-0.041336298	0
ENSMUSG00000022724	-0.07330179	-0.011328459	6
ENSMUSG00000078716	-0.11359882	-0.04035735	3
