sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	17.127697	46.86313	55.514828	-49.544727	-8.283194	21.722979	-7.077967	-19.969246	-30.52068	0.22504745	9.047064	-4.0894656	10.792339	8.788419	1.510362	-3.3568733	-9.376057	3.716996	-3.3119392	-1.8156545
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	20.118261	63.4797	39.002354	-50.007805	-19.68057	33.624756	-13.493478	-10.720077	-20.610096	9.271256	7.1605067	-13.130967	4.0907593	14.626218	7.586437	-4.3909383	-5.709269	1.534679	-7.5854816	11.631288
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	9.383364	33.522514	36.06806	-46.814262	-14.715862	22.462357	-18.211706	0.32127187	-13.640779	6.2227354	1.2838221	-9.084228	7.514652	14.098412	18.326496	-9.673823	-1.7351195	-15.024766	-13.102592	3.8514967
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	12.588073	35.743446	43.909492	-47.31665	-22.629961	29.680788	-10.601759	-1.8985581	-12.84003	4.131264	-6.405994	-3.8739562	10.600114	15.790605	-0.083712034	-10.092755	2.6390898	-13.185034	-14.254563	9.262711
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-41.323322	3.899191	9.922876	-38.00292	-7.382418	-3.3223674	-47.924706	-0.59094507	-16.888222	11.510586	10.529794	-11.531126	1.6095139	8.807842	15.9170265	-19.822016	0.9263905	-5.693397	6.4536047	5.367224
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-2.76485	12.610247	33.33373	-40.8802	-4.824794	8.662857	-18.143618	1.6242372	-11.8783045	6.346745	10.378085	-16.559649	13.5786295	10.7794	15.722039	-23.179537	-3.8852255	-5.1346054	-10.807656	4.3969836
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	227.1744	-22.156708	7.540891	-22.7091	9.751178	23.500696	40.50661	3.9779913	17.741903	4.5729136	-0.84905773	-5.920495	-1.4942796	27.45926	6.9690776	-8.565646	-22.955786	3.8651595	-0.4871954	36.256023
OSD-463_RR23_LVR_FLT_F1	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-33.621075	-69.09087	-7.3760896	25.051817	-18.537796	42.847637	-2.2819238	0.2647419	8.54563	-14.733838	24.514048	-7.827036	-24.793139	5.8386235	28.448914	7.5399814	11.478059	-2.3712468	-17.096209	-7.624253
OSD-463_RR23_LVR_FLT_F2	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-63.055458	-95.61012	2.6249483	28.895845	-6.3428497	19.811083	-5.6837792	7.4287605	11.17624	-9.384353	23.219152	-9.768494	-16.474974	1.7338835	28.730618	7.320279	2.5987594	-2.0534272	-21.93675	-6.8696404
OSD-463_RR23_LVR_FLT_F3	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-75.03156	-105.25704	-12.422544	27.734861	-9.501903	5.2045655	-13.268051	1.4077964	4.1689587	-15.941452	22.178831	-1.162545	-25.425758	-4.743208	20.332418	-2.5951471	0.346505	-4.2818155	-19.545233	-1.7223133
