sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-48_Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48_Mmus_C57-6J_LVR_GC_I_Rep2_M32	22	Mmus_C57-6J_LVR_GC_I_Rep2_M32	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137	flight	all	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	133	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137	flight	all	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	135	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137	flight	all	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	136	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137	flight	all	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	137	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137	flight	all	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	138	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep1_G1	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	139	Mmus_BAL-TAL_LVR_GC_Rep1_G1	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep2_G2	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	140	Mmus_BAL-TAL_LVR_GC_Rep2_G2	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep3_G3	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	141	Mmus_BAL-TAL_LVR_GC_Rep3_G3	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	142	Mmus_BAL-TAL_LVR_GC_Rep4_G5	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep5_G6	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	143	Mmus_BAL-TAL_LVR_GC_Rep5_G6	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	OSD-137	ground	all	Mmus_BAL-TAL_LVR_GC_Rep6_G7	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	144	Mmus_BAL-TAL_LVR_GC_Rep6_G7	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	not_annotated
