sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL17	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	1688	RR8_LVR_FLT_LAR_YNG_FL17	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	1689	RR8_LVR_FLT_LAR_YNG_FL18	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	1690	RR8_LVR_FLT_LAR_YNG_FL2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL5	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	1691	RR8_LVR_FLT_LAR_YNG_FL5	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL6	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	1692	RR8_LVR_FLT_LAR_YNG_FL6	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI11	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	1693	RR8_LVR_GC_ISS-T_OLD_GI11	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI12	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	1694	RR8_LVR_GC_ISS-T_OLD_GI12	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI13	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	1695	RR8_LVR_GC_ISS-T_OLD_GI13	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI14	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	1696	RR8_LVR_GC_ISS-T_OLD_GI14	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI15	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	1697	RR8_LVR_GC_ISS-T_OLD_GI15	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
