analysis_scope	tissue	gene_id	gene_symbol	expimap_pathway_member	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	expimap_gene_effect	expimap_flt_gc_direction	analysis_roles	generative_any_arm_real_stable	generative_stable_synthetic_arms	generative_all_compared_arms	generative_all_arm_patterns	generative_max_arm_real_permutation_roc_auc	generative_max_arm_minus_real_permutation_roc_auc	generative_any_arm_stable_feature	generative_selected_arm_stable_feature	generative_selected_arm	generative_selection_pattern	real_stable	arm_stable	real_selection_frequency	arm_selection_frequency	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_minus_real_permutation_roc_auc	selected_arm_importance_rank	real_linear_shap_flight_minus_ground	selected_linear_shap_flight_minus_ground	matched_primary	consensus_secondary	generative_real_meta_effect	generative_real_meta_fdr	generative_flt_gc_direction
canonical_tissue	skin	ENSMUSG00000006728	Cdk4	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	real_plus_generated	real_plus_generated	synthetic_domain_only	-0.0026227678571428	-0.0026227678571428	True	True	real_plus_generated	synthetic_domain_only	False	True	0.125	0.5	0.0	-0.0026227678571428	-0.0026227678571428	197.0	0.0082879911921861	0.0212257050034652	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000038119	Cdon	True	1.0	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	0.0	False	0.5869713003186572	0.1628826168453591	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000030510	Cers3	True	1.0	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	1.0	False	0.5869713003186572	-0.1567147008353622	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000008206	Cers4	True	1.0	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	1.0	False	0.5869713003186572	-0.1127341581848773	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000018474	Chd3	True	1.0	R-MMU-3247509	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	1.0	False	0.7879048802912886	-0.0527374673606312	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000032113	Chek1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;guided_low_weight;guided_real_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	shared_attenuated;shared_synthetic_domain_only	0.0113392857142856	-0.0061272321428571	True	True	real_plus_generated	shared_synthetic_domain_only	True	True	1.0	1.0	0.0174665178571428	-0.0010323660714285	-0.0184988839285714	175.0	0.1327931141575138	0.0687241919664806	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000029521	Chek2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	real_plus_generated	real_plus_generated	synthetic_domain_only	-0.0007254464285714	-0.0015066964285714	True	True	real_plus_generated	synthetic_domain_only	False	True	0.25	0.5	0.00078125	-0.0007254464285714	-0.0015066964285714	171.0	-0.2053951507589828	-0.0725966765990641	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000037242	Clic4	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight	guided_low_weight	synthetic_emergent_real_transfer	0.0037388392857142	0.0037388392857142	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000042489	Clspn	True	1.0	R-MMU-73894	R-MMU-73894_DNA_REPAIR	DNA repair	1.0	False	0.5869713003186572	-0.3763407694763597	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000001506	Col1a1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only	guided_low_weight;guided_real_only	synthetic_emergent_real_transfer	0.0066220238095238	0.0066220238095238	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000032458	Copb2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	real_plus_generated	real_plus_generated	synthetic_emergent_real_transfer	0.0079910714285714	-0.0002678571428569	True	True	real_plus_generated	synthetic_emergent_real_transfer	False	True	0.125	0.625	0.0082589285714284	0.0079910714285714	-0.0002678571428569	37.0	0.0035725049320704	-0.0029901511602606	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000032431	Crtap	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight	guided_low_weight	synthetic_emergent_real_transfer	0.0005357142857142	0.0005357142857142	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000021477	Ctsl	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	1.0	False	0.5869713003186572	-0.1080531130679235	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000038642	Ctss	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.855797038474914	0.0492129722250263	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000019590	Cyb561	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight	guided_low_weight	synthetic_emergent_real_transfer	0.0041517857142857	0.0258035714285714	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
