method	analysis_scope	tissue	gene_id	gene_symbol	comparison_role	independently_selected_gene	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	n_discordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	project_balanced_gene_log2cpm_effect	gene_flt_gc_direction	analysis_roles	pathway_robustness_statuses
expiMap	canonical_tissue	liver	ENSMUSG00000031838	Ifi30	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.17725780646366	-0.3245070223133751	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000002699	Lcp2	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.1939995727842712	-0.3083111958297196	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000021190	Lgmn	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.1939995727842712	-0.1537303602710282	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000008348	Ubc	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.2300478031429421	-0.2369899703171956	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000034311	Kif4	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.2349855413992914	-0.2788889792834813	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000023015	Racgap1	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.2396870361271395	-0.3471967911040571	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000022148	Fyb1	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.247625393183439	-0.2164063837604599	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000032254	Kif23	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.2559664535087575	-0.3073339334979011	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000034330	Plcg2	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.2559664535087575	-0.2998475110833586	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000026288	Inpp5d	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.2984540012890468	-0.211145510227297	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000030774	Pak1	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.2987977330498545	-0.1979792220779549	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000028678	Kif2c	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.2994488022153574	-0.1604172079835936	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000005763	Cd247	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.3234095964480633	-0.2260282544392556	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000072235	Tuba1a	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.3246913518859365	-0.2716021159252567	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000031367	Ap1s2	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.3330951610296853	-0.1339080101628486	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000012443	Kif11	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.3552036286992117	-0.2667234756001179	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000026117	Zap70	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.3696414209069336	-0.2315918788880843	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000076498	Trbc2	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.3736826025287874	-0.2840782436414065	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000045328	Cenpe	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.4332198614748037	-0.2734155390070817	FLT_lower	main	triangulated
