gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000104043	0	1	18	1	Gm6525	Gm6525	True	False	0.488237406267041	all_up
ENSMUSG00000022906	20	0	17	9	Parp9	Parp9	True	False	0.0031483599504226	mixed
ENSMUSG00000022226	8	0	0	0	NA	ENSMUSG00000022226	False	False	NA	NA
ENSMUSG00000031217	4	0	9	6	Efnb1	Efnb1	True	False	0.141488634660525	mixed
ENSMUSG00000054836	23	1	5	2	Elp6	Elp6	True	False	-0.0320453261188943	mixed
ENSMUSG00000100799	8	0	0	0	NA	ENSMUSG00000100799	False	False	NA	NA
ENSMUSG00000020594	20	0	17	9	Pum2	Pum2	True	False	-0.0069332089252461	mixed
ENSMUSG00000030680	22	1	5	2	Pagr1a	Pagr1a	True	False	-0.182356445157068	mixed
ENSMUSG00000044927	8	0	0	0	NA	ENSMUSG00000044927	False	False	NA	NA
ENSMUSG00000036822	17	0	8	5	Topors	Topors	True	False	0.0915391137607502	mixed
ENSMUSG00000052488	11	0	9	4	Cherp	Cherp	True	False	0.0810661528840975	mixed
ENSMUSG00000091805	5	1	4	2	Vmn2r108	Vmn2r108	True	False	-0.193089304405721	mixed
ENSMUSG00000074227	9	0	15	3	Spint2	Spint2	True	False	0.0235998303278124	mixed
ENSMUSG00000038022	23	1	5	2	Mindy4	Mindy4	True	False	-0.0959875971291548	mixed
ENSMUSG00000025839	0	1	6	1	NA	ENSMUSG00000025839	False	False	NA	NA
ENSMUSG00000006270	8	0	0	0	NA	ENSMUSG00000006270	False	False	NA	NA
ENSMUSG00000018821	14	0	15	8	Avpi1	Avpi1	True	False	0.143612102734418	mixed
ENSMUSG00000025645	18	0	9	6	Ccdc51	Ccdc51	True	False	0.0711094584648643	mixed
ENSMUSG00000002204	10	1	5	7	Napsa	Napsa	True	False	-0.187051079674284	mixed
ENSMUSG00000026155	17	0	8	5	Smap1	Smap1	True	False	0.130474036838925	mixed
ENSMUSG00000032640	15	0	12	8	Chsy1	Chsy1	True	False	-0.147195564697667	mixed
ENSMUSG00000033282	6	0	12	8	Rpgrip1l	Rpgrip1l	True	False	-0.0447496783244237	mixed
ENSMUSG00000042632	9	0	15	3	Pla2g6	Pla2g6	True	False	-0.0138821513837762	mixed
