tissue	term	effect_seed2020	effect_seed2021	effect_seed2022	all_three_seeds_available	all_three_direction_concordant	seed_effect_median	seed_effect_minimum	seed_effect_maximum	primary_absolute_percentile
spleen	R-MMU-72312_RRNA_PROCESSING	-0.0611715123588888	0.0029224211505555	-0.0923687562944444	True	False	-0.0611715123588888	-0.0923687562944444	0.0029224211505555	0.8108882521489972
spleen	R-MMU-72766_TRANSLATION	0.0095723258121222	0.0053353118510305	0.0043573048853999	True	True	0.0053353118510305	0.0043573048853999	0.0095723258121222	0.5100286532951289
spleen	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	-0.0632431948888885	0.0635337349272221	0.0199689215944444	True	False	0.0199689215944444	-0.0632431948888885	0.0635337349272221	0.8166189111747851
spleen	R-MMU-73884_BASE_EXCISION_REPAIR	0.0589452482186666	-0.0787339393818055	0.0751991860322221	True	False	0.0589452482186666	-0.0787339393818055	0.0751991860322221	0.8051575931232091
spleen	R-MMU-73886_CHROMOSOME_MAINTENANCE	0.0008216268318315	-0.0398109166258888	-0.086822452795	True	False	-0.0398109166258888	-0.086822452795	0.0008216268318315	0.157593123209169
spleen	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	0.0753127191669444	-0.016749985261111	-0.0676758439311111	True	False	-0.016749985261111	-0.0676758439311111	0.0753127191669444	0.8567335243553008
spleen	R-MMU-73894_DNA_REPAIR	0.0316698867597222	0.0665942081016666	0.0575053624722221	True	True	0.0575053624722221	0.0316698867597222	0.0665942081016666	0.664756446991404
spleen	R-MMU-73927_DEPURINATION	0.0007753454650586	0.0054639581032055	0.0005175164216588	True	True	0.0007753454650586	0.0005175164216588	0.0054639581032055	0.1432664756446991
spleen	R-MMU-73929_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	-0.0003803311274999	0.00226568940118	0.0001551891689166	True	False	0.0001551891689166	-0.0003803311274999	0.00226568940118	0.0630372492836676
spleen	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	-0.0126648045555555	0.0190284453055555	0.0025906393333335	True	False	0.0025906393333335	-0.0126648045555555	0.0190284453055555	0.5472779369627507
spleen	R-MMU-74752_SIGNALING_BY_INSULIN_RECEPTOR	-0.0065764778174222	-2.600115210293257e-06	5.610991812778e-05	True	False	-2.600115210293257e-06	-0.0065764778174222	5.610991812778e-05	0.4584527220630373
spleen	R-MMU-75153_APOPTOTIC_EXECUTION_PHASE	0.0003135437855638	0.0020121539236388	0.0010846476905805	True	True	0.0010846476905805	0.0003135437855638	0.0020121539236388	0.0458452722063037
spleen	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	-0.1246180497499999	-0.0377965384166664	-0.0069592912472221	True	True	-0.0377965384166664	-0.1246180497499999	-0.0069592912472221	0.9598853868194842
spleen	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	-0.0263628106944445	-0.1049624560555559	-0.0963761464444444	True	True	-0.0963761464444444	-0.1049624560555559	-0.0263628106944445	0.6217765042979942
spleen	R-MMU-774815_NUCLEOSOME_ASSEMBLY	0.0031873945461611	-0.0023056919881944	0.0001537069877283	True	False	0.0001537069877283	-0.0023056919881944	0.0031873945461611	0.3638968481375358
spleen	R-MMU-8852135_PROTEIN_UBIQUITINATION	-0.0005086650095	-0.0020533775841499	-0.0011012071234	True	True	-0.0011012071234	-0.0020533775841499	-0.0005086650095	0.0916905444126074
spleen	R-MMU-8852276_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	0.000313447314993	-0.0005339687507388	0.001149850716925	True	False	0.000313447314993	-0.0005339687507388	0.001149850716925	0.0429799426934097
spleen	R-MMU-8854518_AURKA_ACTIVATION_BY_TPX2	0.000183981552486	-0.0005976942700249	-0.0001200972098711	True	False	-0.0001200972098711	-0.0005976942700249	0.000183981552486	0.0315186246418338
spleen	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	-0.0013929070984222	0.1428385476544444	0.0008404269684	True	False	0.0008404269684	-0.0013929070984222	0.1428385476544444	0.2464183381088825
spleen	R-MMU-8856825_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.0125523366464999	0.0023500530273055	-0.010826730725	True	False	0.0023500530273055	-0.010826730725	0.0125523366464999	0.5444126074498568
spleen	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.0119959778527777	0.0771275732823332	0.0294167424666666	True	False	0.0294167424666666	-0.0119959778527777	0.0771275732823332	0.5415472779369628
spleen	R-MMU-8866654_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	-0.0010732803558899	0.0002895012146888	0.0014964282308016	True	False	0.0002895012146888	-0.0010732803558899	0.0014964282308016	0.1919770773638968
spleen	R-MMU-8868773_RRNA_PROCESSING_IN_THE_NUCLEUS_AND_CYTOSOL	0.0023718731564977	0.0047474679352499	0.041672430286111	True	True	0.0047474679352499	0.0023718731564977	0.041672430286111	0.3008595988538682
spleen	R-MMU-8875878_MET_PROMOTES_CELL_MOTILITY	-0.0005862851366524	0.0015453630460888	-0.0002894792278944	True	False	-0.0002894792278944	-0.0005862851366524	0.0015453630460888	0.1060171919770773
spleen	R-MMU-8876198_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	0.0327245896636111	0.0040148078277778	-0.0699058239194443	True	False	0.0040148078277778	-0.0699058239194443	0.0327245896636111	0.6790830945558739
spleen	R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.0279590175219444	0.1058848674499999	0.0933128243222222	True	True	0.0933128243222222	0.0279590175219444	0.1058848674499999	0.6389684813753582
spleen	R-MMU-8936459_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.0089976754394444	-0.0031192520132472	0.0116226360888891	True	False	0.0089976754394444	-0.0031192520132472	0.0116226360888891	0.498567335243553
spleen	R-MMU-8939211_ESR_MEDIATED_SIGNALING	0.0090549942944444	-0.0537002838166666	0.0006934155633777	True	False	0.0006934155633777	-0.0537002838166666	0.0090549942944444	0.501432664756447
spleen	R-MMU-8951664_NEDDYLATION	0.052604415538111	0.0449263760833334	0.041731973286111	True	True	0.0449263760833334	0.041731973286111	0.052604415538111	0.7707736389684814
spleen	R-MMU-8953854_METABOLISM_OF_RNA	-0.0072746928333333	-0.0198230706388889	-0.0177119875833332	True	True	-0.0177119875833332	-0.0198230706388889	-0.0072746928333333	0.4727793696275071
spleen	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	0.0500745940000001	0.0202821833333334	0.0166074708055557	True	True	0.0202821833333334	0.0166074708055557	0.0500745940000001	0.7535816618911175
spleen	R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	0.0652717748333332	-0.0639780692666667	0.1280415873888889	True	False	0.0652717748333332	-0.0639780692666667	0.1280415873888889	0.8223495702005731
spleen	R-MMU-8957322_METABOLISM_OF_STEROIDS	-0.0159204742499999	0.0357648078777778	0.0096421674166665	True	False	0.0096421674166665	-0.0159204742499999	0.0357648078777778	0.5673352435530086
spleen	R-MMU-8978868_FATTY_ACID_METABOLISM	0.0766894860158666	0.0002653366305555	0.0282940252172222	True	True	0.0282940252172222	0.0002653366305555	0.0766894860158666	0.8624641833810889
spleen	R-MMU-8980692_RHOA_GTPASE_CYCLE	0.0608588339694444	0.0640779476638889	0.0681048434416665	True	True	0.0640779476638889	0.0608588339694444	0.0681048434416665	0.8080229226361032
spleen	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	-0.0856932934166666	0.0510628634030555	-0.0871485320094444	True	False	-0.0856932934166666	-0.0871485320094444	0.0510628634030555	0.8968481375358166
spleen	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	-0.0480646392638888	0.0582638397827444	0.0035752422138888	True	False	0.0035752422138888	-0.0480646392638888	0.0582638397827444	0.7392550143266475
