tissue	term	display_term	decision	manual_category	seed	pathway_effect	pathway_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	decoder_direction_match_fraction	decoder_abs_weight_direction_match_fraction	decoder_gene_effect_spearman	top_decoder_concordant_member_genes
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	Adaptive Immune System	exclude	composition_sensitive	2020	-0.0914697839254385	159	0.3584905660377358	0.03393985330014392	0.5534591194968553	0.5754664020024636	0.1707965130164796	H2-Aa (raw -0.12, weight +0.58); H2-Eb1 (raw -0.11, weight +0.57); H2-Ab1 (raw -0.09, weight +0.55); Cd74 (raw -0.07, weight +0.52); Slamf7 (raw -0.15, weight +0.42); Ctla4 (raw -0.01, weight +0.38); Cd3e (raw -0.08, weight +0.34); Cd209a (raw -0.20, weight +0.30)
kidney	R-MMU-500792_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	exclude	broad_redundant	2020	-0.0974449197953216	97	0.3402061855670103	0.060365637138280165	0.5670103092783505	0.6105392210078197	0.4535702897217391	Ccl3 (raw -0.17, weight +0.71); Ccl12 (raw -0.27, weight +0.68); Adgre1 (raw -0.02, weight +0.66); Ccl4 (raw -0.10, weight +0.55); Ccl7 (raw -0.08, weight +0.52); Ccl6 (raw -0.02, weight +0.49); Cxcl9 (raw -0.25, weight +0.46); Ccl9 (raw -0.03, weight +0.39)
kidney	R-MMU-168256_IMMUNE_SYSTEM	Immune System	exclude	composition_sensitive	2020	-0.0991074501461984	434	0.3087557603686636	0.05360180856351582	0.5184331797235023	0.5713173211766451	0.3144985685550387	Ctla4 (raw -0.01, weight +0.77); Cd300e (raw -0.00, weight +0.75); Reg3g (raw -0.07, weight +0.70); Osm (raw -0.01, weight +0.66); Cd300ld5 (raw -0.02, weight +0.63); Ighg1 (raw -0.01, weight +0.63); Ifitm6 (raw -0.07, weight +0.61); Cd209a (raw -0.20, weight +0.60)
kidney	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	Neutrophil Degranulation	exclude	seed_inconsistent	2020	-0.1102665094005848	161	0.30434782608695654	0.05270047542955266	0.5962732919254659	0.613350438777555	0.29476938118242474	Abca13 (raw -0.05, weight +0.78); Mgam (raw -0.03, weight +0.52); Orm1 (raw +0.19, weight -0.37); Pkp1 (raw +0.16, weight -0.34); Cfd (raw +0.30, weight -0.31); Itgax (raw -0.07, weight +0.29); Slc27a2 (raw -0.05, weight +0.28); Fcna (raw +0.06, weight -0.28)
kidney	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Cellular Response To Chemical Stress	exclude	sensitivity_dependent	2020	-0.1156591498976606	29	0.3103448275862069	0.046129901555682494	0.4827586206896552	0.48673435048123215	0.20344827586206893	Gpx6 (raw -0.10, weight +0.37); Nox4 (raw -0.19, weight +0.32); Gpx8 (raw +0.05, weight -0.23); Helz2 (raw +0.22, weight -0.18); Cox6a2 (raw -0.09, weight +0.10); Blvrb (raw +0.10, weight -0.10); Gpx1 (raw -0.00, weight +0.10); Hmox1 (raw +0.05, weight -0.09)
kidney	R-MMU-2672351_STIMULI_SENSING_CHANNELS	Stimuli Sensing Channels	exclude	seed_inconsistent	2020	0.0781700057736842	24	0.75	0.04186087808212302	0.6666666666666666	0.6801542725431853	-0.047826086956521734	Mcoln2 (raw +0.08, weight +0.37); Scnn1b (raw +0.04, weight +0.34); Scnn1g (raw +0.02, weight +0.33); Clcnka (raw +0.07, weight +0.33); Bsnd (raw +0.05, weight +0.31); Clcnkb (raw +0.04, weight +0.26); Ttyh3 (raw +0.12, weight +0.21); Tsc22d3 (raw +0.04, weight +0.18)
kidney	R-MMU-2142753_ARACHIDONATE_METABOLISM	Arachidonate Metabolism	exclude	weak_support	2020	-0.0744308441725147	28	0.2857142857142857	0.1232004080603184	0.6428571428571429	0.5086514037736931	0.08483853311439518	Cyp1b1 (raw +0.26, weight -0.46); Ltc4s (raw -0.03, weight +0.24); Cyp4a12b (raw +0.15, weight -0.20); Akr1c14 (raw +0.00, weight -0.16); Ptgds (raw +0.25, weight -0.12); Akr1c19 (raw -0.04, weight +0.11); Gpx1 (raw -0.00, weight +0.11); Dpep1 (raw +0.14, weight -0.10)
kidney	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Binding And Uptake Of Ligands By Scavenger Receptors	exclude	weak_support	2020	-0.0919729737690058	30	0.3	0.08359559768674917	0.5	0.4666282132982223	0.49321468298109006	Jchain (raw -0.20, weight +0.54); Cd163 (raw -0.01, weight +0.43); Ighv1-55 (raw -0.09, weight +0.35); Igkv1-135 (raw -0.07, weight +0.35); Ighv1-26 (raw -0.05, weight +0.31); Apol7b (raw -0.07, weight +0.25); Masp1 (raw +0.26, weight -0.23); Iglc1 (raw -0.02, weight +0.21)
kidney	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Regulation Of Insulin Like Growth Factor Igf Transport And Uptake By Insulin Like Growth Factor Binding Proteins Igfbps	main_candidate	coherent_complementary	2020	0.1120095795292398	75	0.8133333333333334	0.10511482122090439	0.6	0.5981000999081398	0.08352773826458036	Chgb (raw +0.06, weight +0.67); Igfbp2 (raw +0.31, weight +0.66); Spp2 (raw -0.03, weight -0.56); Fstl1 (raw +0.13, weight +0.34); Sparcl1 (raw +0.23, weight +0.34); Vgf (raw +0.00, weight +0.33); Lgals1 (raw +0.12, weight +0.32); Rcn1 (raw +0.02, weight +0.31)
kidney	R-MMU-3000178_ECM_PROTEOGLYCANS	Ecm Proteoglycans	main_candidate	coherent_aligned	2020	0.100975812482456	28	0.8571428571428571	0.15891548287852153	0.75	0.8004037854496169	0.19211822660098524	Tnxb (raw +0.14, weight +0.58); Bgn (raw +0.29, weight +0.44); Col2a1 (raw -0.02, weight -0.42); Tnn (raw +0.38, weight +0.41); Col5a3 (raw +0.33, weight +0.35); Col6a3 (raw +0.18, weight +0.34); Dcn (raw +0.03, weight +0.34); Col6a1 (raw +0.24, weight +0.32)
kidney	R-MMU-195721_SIGNALING_BY_WNT	Signaling By Wnt	main_candidate	coherent_complementary	2020	0.0673427095614033	31	0.8387096774193549	0.06526597619197198	0.6774193548387096	0.7376671813771718	0.13185483870967743	Wnt7a (raw +0.04, weight +0.93); Wnt7b (raw +0.22, weight +0.56); Fzd2 (raw +0.13, weight +0.55); Wnt4 (raw +0.25, weight +0.38); Sox4 (raw +0.08, weight +0.36); Rspo3 (raw +0.17, weight +0.34); Wnt5a (raw +0.06, weight +0.29); Fzd4 (raw +0.02, weight +0.23)
kidney	R-MMU-114608_PLATELET_DEGRANULATION	Platelet Degranulation	supporting	plausible_context	2020	0.1431583571038011	69	0.8695652173913043	0.1424348891294264	0.7536231884057971	0.81141248169578	0.1553891121666058	F13a1 (raw +0.14, weight +0.38); Srgn (raw +0.09, weight +0.38); Serpina3n (raw +0.30, weight +0.34); Trf (raw +0.09, weight +0.34); Clec3b (raw +0.21, weight +0.34); Itih4 (raw +0.31, weight +0.32); Plek (raw +0.13, weight +0.30); Selp (raw +0.01, weight +0.29)
kidney	R-MMU-1430728_METABOLISM	Metabolism	supporting	broad_redundant	2020	0.1124969715058479	494	0.7206477732793523	0.062396423422696655	0.4959514170040486	0.5470789889374349	0.1699386055743481	Pon1 (raw +0.04, weight +0.60); Cyp3a11 (raw +0.13, weight +0.60); Elovl3 (raw +0.32, weight +0.60); Abcb11 (raw +0.06, weight +0.59); Cyp2b10 (raw +0.44, weight +0.55); Cps1 (raw +0.31, weight +0.50); Dbh (raw +0.09, weight +0.46); Aldh3a1 (raw +0.09, weight +0.45)
kidney	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Response To Elevated Platelet Cytosolic Ca2	supporting	broad_redundant	2020	0.1041344910935672	69	0.8695652173913043	0.1424348891294264	0.391304347826087	0.5328955513475775	0.21355498721227625	Cfd (raw +0.30, weight +0.55); Ahsg (raw +0.36, weight +0.43); Fgg (raw +0.53, weight +0.41); Serpinf2 (raw +0.20, weight +0.39); Rarres2 (raw +0.14, weight +0.39); Apoh (raw +0.26, weight +0.36); Fga (raw +0.39, weight +0.36); Plg (raw +0.15, weight +0.36)
kidney	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Degradation Of The Extracellular Matrix	supporting	composition_sensitive	2020	0.0928780325766813	56	0.8035714285714286	0.11376932426583775	0.7678571428571429	0.88321211176033	0.38933697881066304	Fbn2 (raw +0.14, weight +0.53); Mmp11 (raw +0.10, weight +0.47); Mmp13 (raw -0.18, weight -0.46); Scube1 (raw +0.11, weight +0.42); Mmp14 (raw +0.26, weight +0.42); Scube3 (raw +0.14, weight +0.41); Nid1 (raw +0.22, weight +0.41); Mmp2 (raw +0.21, weight +0.39)
kidney	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES	Metabolism Of Steroid Hormones	supporting	plausible_context	2020	0.1101655525843566	18	0.7777777777777778	0.04389693928528948	0.7222222222222222	0.8947793805590798	0.5583075335397317	Akr1b7 (raw +0.21, weight +0.42); Akr1b8 (raw +0.26, weight +0.33); Serpina6 (raw +0.20, weight +0.33); Srd5a1 (raw +0.02, weight +0.25); Cyp21a1 (raw +0.01, weight +0.25); Cyp11b1 (raw +0.03, weight +0.21); Akr1b3 (raw +0.33, weight +0.20); Hsd3b2 (raw -0.06, weight -0.17)
kidney	R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	Regulation Of Expression And Function Of Type I Classical Cadherins	supporting	plausible_complementary	2020	0.1044010590994152	45	0.8	0.05168924235438096	0.7555555555555555	0.9152244639314524	0.3372859025032938	Gm28635 (raw +0.10, weight +0.74); H3c14 (raw -0.15, weight -0.38); H3c2 (raw +0.13, weight +0.33); H3c11 (raw +0.11, weight +0.32); H2ac23 (raw +0.01, weight +0.30); H3c13 (raw +0.03, weight +0.28); H4c18 (raw +0.02, weight +0.28); H2ac10 (raw +0.17, weight +0.27)
kidney	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	Plasma Lipoprotein Assembly Remodeling And Clearance	supporting	plausible_context	2020	0.0986064472295322	27	0.7777777777777778	0.06413728160741068	0.6666666666666666	0.8405243921821782	0.4377289377289378	Apoc1 (raw +0.13, weight +0.63); Lipg (raw +0.04, weight +0.61); Scarb1 (raw +0.09, weight +0.38); Apoc2 (raw +0.01, weight +0.33); Apoa5 (raw +0.11, weight +0.33); Lipa (raw -0.10, weight -0.28); Pltp (raw +0.06, weight +0.25); Angptl4 (raw -0.11, weight -0.20)
kidney	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	Cell Junction Organization	supporting	composition_sensitive	2020	0.0755649094444445	73	0.7808219178082192	0.07095696959752089	0.589041095890411	0.6039345407252652	0.08138960878686907	Itgb4 (raw +0.16, weight +0.53); Flnc (raw +0.24, weight +0.49); Acta1 (raw +0.05, weight +0.44); Actg2 (raw +0.17, weight +0.40); Cdh3 (raw +0.07, weight +0.40); Krt14 (raw +0.00, weight +0.37); Cdh13 (raw +0.17, weight +0.35); Sdk1 (raw +0.11, weight +0.35)
kidney	R-MMU-211859_BIOLOGICAL_OXIDATIONS	Biological Oxidations	supporting	heterogeneous_subprogram	2020	-0.07192443878655	90	0.3111111111111111	0.06555583591567435	0.5333333333333333	0.5518999016197413	0.3100712022060336	Cyp2a5 (raw -0.01, weight +0.80); Aadac (raw -0.04, weight +0.72); Acsm1 (raw -0.03, weight +0.65); Ugt3a2 (raw -0.07, weight +0.64); Ugt2b38 (raw -0.15, weight +0.62); Fmo2 (raw -0.00, weight +0.56); Acsm5 (raw -0.00, weight +0.55); Acsm2 (raw -0.06, weight +0.54)
kidney	R-MMU-8978868_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	exclude	seed_inconsistent	2021	-0.1239703659049707	60	0.21666666666666667	0.1114717296316002	0.5666666666666667	0.5716458201930961	0.4202278410669631	Scd1 (raw +0.04, weight -0.35); Acsbg1 (raw +0.22, weight -0.33); Fasn (raw +0.35, weight -0.30); Hao2 (raw -0.02, weight +0.27); Akr1c21 (raw -0.07, weight +0.27); Elovl6 (raw +0.15, weight -0.24); Ptgds (raw +0.25, weight -0.24); Slc27a2 (raw -0.05, weight +0.24)
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	Developmental Biology	exclude	broad_redundant	2021	0.0325783879093568	131	0.8091603053435115	0.08925280584260668	0.4198473282442748	0.4552862019320571	-0.2605775903485827	Krt4 (raw +0.01, weight +0.61); Gap43 (raw +0.04, weight +0.55); Krt23 (raw +0.20, weight +0.52); Krt15 (raw +0.07, weight +0.46); Krt14 (raw +0.00, weight +0.45); Lgi2 (raw +0.13, weight +0.32); Reln (raw +0.01, weight +0.27); Pkp1 (raw +0.16, weight +0.27)
kidney	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	Smooth Muscle Contraction	exclude	composition_sensitive	2021	0.0703536925030993	15	1.0	0.1798155462006991	0.9333333333333333	0.9878879552121951	0.6607142857142856	Tpm2 (raw +0.24, weight +0.33); Myl9 (raw +0.15, weight +0.32); Gucy1a1 (raw +0.32, weight +0.32); Gucy1b1 (raw +0.21, weight +0.27); Acta2 (raw +0.32, weight +0.24); Myh11 (raw +0.36, weight +0.23); Cald1 (raw +0.21, weight +0.20); Mylk (raw +0.18, weight +0.19)
kidney	R-MMU-392499_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	exclude	broad_redundant	2021	0.136244265058479	324	0.7438271604938271	0.06404022932379114	0.558641975308642	0.5944335362999391	0.15913841920033872	Lypd3 (raw +0.03, weight +0.42); mt-Nd4l (raw -0.09, weight -0.37); Vgf (raw +0.00, weight +0.35); Spon2 (raw +0.13, weight +0.35); Nrn1 (raw +0.02, weight +0.33); Muc19 (raw +0.02, weight +0.32); Muc4 (raw +0.01, weight +0.30); Lypd2 (raw +0.01, weight +0.30)
kidney	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	G Alpha I Signalling Events	exclude	broad_redundant	2021	-0.0933322681286549	78	0.38461538461538464	0.03997508628370205	0.47435897435897434	0.5493088524846317	0.22295567063553845	Ccr1 (raw -0.06, weight +0.42); Rgs1 (raw -0.00, weight +0.39); Cxcl12 (raw +0.04, weight -0.32); Ccr7 (raw -0.09, weight +0.30); Rgs5 (raw +0.18, weight -0.29); Cxcl3 (raw -0.01, weight +0.28); Ccl5 (raw -0.16, weight +0.25); Ccl4 (raw -0.10, weight +0.25)
kidney	R-MMU-6805567_KERATINIZATION	Keratinization	exclude	tissue_incongruent	2021	0.0658423939327485	23	0.782608695652174	0.07932217158923603	0.7391304347826086	0.8010764196650078	0.24802371541501977	Krt20 (raw +0.17, weight +0.48); Krt4 (raw +0.01, weight +0.38); Krt19 (raw +0.22, weight +0.38); Krt18 (raw +0.18, weight +0.36); Perp (raw +0.01, weight +0.27); Krt7 (raw +0.12, weight +0.27); Krt8 (raw +0.15, weight +0.26); Cdsn (raw +0.08, weight +0.26)
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Transmission Across Chemical Synapses	exclude	tissue_incongruent	2021	-0.0793705640497075	37	0.43243243243243246	0.033448180547745565	0.5675675675675675	0.5635486354888324	0.2937411095305832	Chrna4 (raw -0.07, weight +0.40); Apba1 (raw +0.25, weight -0.29); Gabrb3 (raw -0.20, weight +0.29); Slc6a12 (raw +0.44, weight -0.27); Kcnj16 (raw -0.03, weight +0.26); Slc22a1 (raw -0.00, weight +0.25); Slc1a3 (raw -0.08, weight +0.22); Cacnb4 (raw -0.07, weight +0.20)
kidney	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	Golgi To Er Retrograde Transport	exclude	seed_inconsistent	2021	-0.0003262313863859	19	0.21052631578947367	0.10789188520454851	0.42105263157894735	0.3712117387459431	-0.06140350877192983	Cenpe (raw +0.10, weight -0.00); Kif11 (raw -0.02, weight +0.00); Kif20a (raw -0.01, weight +0.00); Tubb2b (raw +0.17, weight -0.00); Tubb6 (raw +0.16, weight -0.00); Kif26a (raw +0.17, weight -0.00); Kif12 (raw +0.06, weight -0.00); Tuba1a (raw +0.16, weight -0.00)
kidney	R-MMU-168249_INNATE_IMMUNE_SYSTEM	Innate Immune System	exclude	composition_sensitive	2021	-0.1183820256438742	258	0.29457364341085274	0.05360180856351582	0.5465116279069767	0.5139450785209903	0.3297351800654669	Cd209a (raw -0.20, weight +0.44); Abca13 (raw -0.05, weight +0.44); Pld4 (raw -0.01, weight +0.34); Ly86 (raw -0.03, weight +0.34); Itgax (raw -0.07, weight +0.34); Fgr (raw -0.07, weight +0.31); Ighg1 (raw -0.01, weight +0.28); Clec4e (raw -0.07, weight +0.25)
kidney	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	exclude	latent_gene_discordant	2021	-0.160944355730994	75	0.26666666666666666	0.06934095377440641	0.38666666666666666	0.41845636283646365	0.25302987197724036	Pah (raw -0.18, weight +0.59); Dbh (raw +0.09, weight -0.49); Th (raw +0.07, weight -0.47); Aass (raw -0.06, weight +0.45); Agxt2 (raw -0.00, weight +0.36); Kmo (raw -0.05, weight +0.36); Dmgdh (raw -0.02, weight +0.34); Ass1 (raw -0.08, weight +0.33)
kidney	R-MMU-9757110_PREDNISONE_ADME	Prednisone Adme	exclude	seed_inconsistent	2021	0.1219225980214327	19	0.47368421052631576	-0.0066683976096283916	0.5789473684210527	0.7311874605775001	0.2912280701754386	Serpina6 (raw +0.20, weight +0.21); Hsd11b2 (raw -0.02, weight -0.11); Ugt1a2 (raw +0.38, weight +0.10); Hsd11b1 (raw +0.10, weight +0.08); Ugt2b37 (raw +0.04, weight +0.03); Ugt1a5 (raw -0.40, weight -0.03); Abcb1a (raw +0.07, weight +0.03); Akr1c21 (raw -0.07, weight -0.02)
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	Adaptive Immune System	exclude	composition_sensitive	2021	-0.1551083951754387	159	0.3584905660377358	0.03393985330014392	0.5094339622641509	0.5615533372942219	0.2903809410078816	Ctla4 (raw -0.01, weight +0.32); Siglecg (raw -0.16, weight +0.32); Pilra (raw -0.07, weight +0.26); Ptpn22 (raw -0.01, weight +0.26); Kif11 (raw -0.02, weight +0.25); Fcgr1 (raw -0.05, weight +0.24); Slamf7 (raw -0.15, weight +0.22); H2-DMa (raw -0.15, weight +0.21)
kidney	R-MMU-500792_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	exclude	broad_redundant	2021	-0.1424514803614327	97	0.3402061855670103	0.060365637138280165	0.5670103092783505	0.6121588914958437	0.42744196902834924	Oxgr1 (raw -0.03, weight +0.47); Ccl3 (raw -0.17, weight +0.47); Adgre1 (raw -0.02, weight +0.45); Ccl12 (raw -0.27, weight +0.43); Sucnr1 (raw -0.14, weight +0.33); Casr (raw -0.05, weight +0.33); Ccl4 (raw -0.10, weight +0.33); Adora1 (raw +0.17, weight -0.29)
kidney	R-MMU-168256_IMMUNE_SYSTEM	Immune System	exclude	composition_sensitive	2021	-0.0435226822368415	434	0.3087557603686636	0.05360180856351582	0.532258064516129	0.559447745310772	0.253839946067132	Reg3g (raw -0.07, weight +0.52); Cd300e (raw -0.00, weight +0.49); Osm (raw -0.01, weight +0.48); Ctla4 (raw -0.01, weight +0.47); Cd300ld5 (raw -0.02, weight +0.47); Gm49673 (raw -0.05, weight +0.45); Ifitm6 (raw -0.07, weight +0.41); Il1r2 (raw -0.02, weight +0.39)
kidney	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	Neutrophil Degranulation	exclude	seed_inconsistent	2021	-0.0902320552777778	161	0.30434782608695654	0.05270047542955266	0.4161490683229814	0.3994901726613387	0.11354382332643204	Slc2a5 (raw +0.33, weight -0.33); Glipr1 (raw -0.09, weight +0.32); Adam8 (raw -0.01, weight +0.30); Pigr (raw +0.05, weight -0.29); Slpi (raw -0.13, weight +0.27); Itgb2 (raw -0.00, weight +0.26); Lyz2 (raw -0.02, weight +0.25); Slco4c1 (raw +0.07, weight -0.24)
kidney	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Cellular Response To Chemical Stress	exclude	sensitivity_dependent	2021	-0.0090122000413742	29	0.3103448275862069	0.046129901555682494	0.3448275862068966	0.3288272631116161	-0.2655172413793103	Helz2 (raw +0.22, weight -0.08); Gpx6 (raw -0.10, weight +0.04); Sesn2 (raw +0.08, weight -0.03); Hmox1 (raw +0.05, weight -0.02); Gpx1 (raw -0.00, weight +0.02); Sod3 (raw +0.12, weight -0.01); Cox6a2 (raw -0.09, weight +0.01); mt-Co3 (raw -0.29, weight +0.01)
