tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-422475_AXON_GUIDANCE	0.5	6	0.0	NA	NA
kidney	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.8333333333333334	6	0.5	0.6666666666666666	3.0
kidney	R-MMU-428157_SPHINGOLIPID_METABOLISM	0.5	6	0.0	NA	NA
kidney	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	0.5	6	0.0	NA	NA
kidney	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	0.6666666666666666	6	0.8333333333333334	0.6	5.0
kidney	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-4839726_CHROMATIN_ORGANIZATION	1.0	6	0.0	NA	NA
kidney	R-MMU-500792_GPCR_LIGAND_BINDING	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-5173105_O_LINKED_GLYCOSYLATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	0.0	6	0.0	NA	NA
kidney	R-MMU-5357801_PROGRAMMED_CELL_DEATH	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	0.0	6	0.0	NA	NA
kidney	R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-5365859_RA_BIOSYNTHESIS_PATHWAY	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-556833_METABOLISM_OF_LIPIDS	0.6666666666666666	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-5576891_CARDIAC_CONDUCTION	0.8333333333333334	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-5578775_ION_HOMEOSTASIS	1.0	6	0.0	NA	NA
kidney	R-MMU-5617833_CILIUM_ASSEMBLY	0.0	6	0.0	NA	NA
kidney	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-5663220_RHO_GTPASES_ACTIVATE_FORMINS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	0.5	6	0.0	NA	NA
kidney	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.0	6	0.0	NA	NA
kidney	R-MMU-5686938_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	0.5	6	0.0	NA	NA
kidney	R-MMU-5688426_DEUBIQUITINATION	0.8333333333333334	6	0.0	NA	NA
