tissue	term	display_term	decision	manual_category	pathway_seed_median_effect	pathway_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	decoder_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_minimum	decoder_gene_effect_spearman_median	top_decoder_concordant_member_genes
kidney	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES	Metabolism Of Steroid Hormones	supporting	plausible_context	0.0812440280782309	18	0.7777777777777778	0.04389693928528948	0.6666666666666666	0.7639138311289786	0.39184503730320047	0.3498452012383901	Akr1b7 (raw +0.21, weight +0.42); Akr1b8 (raw +0.26, weight +0.33); Serpina6 (raw +0.20, weight +0.33); Srd5a1 (raw +0.02, weight +0.25); Cyp21a1 (raw +0.01, weight +0.25); Cyp11b1 (raw +0.03, weight +0.21); Akr1b3 (raw +0.33, weight +0.20); Hsd3b2 (raw -0.06, weight -0.17)
kidney	R-MMU-211859_BIOLOGICAL_OXIDATIONS	Biological Oxidations	supporting	heterogeneous_subprogram	-0.1099445949122804	90	0.3111111111111111	0.06555583591567435	0.5444444444444444	0.5531907292413389	0.5518999016197413	0.31319916039017154	Cyp2a5 (raw -0.01, weight +0.80); Aadac (raw -0.04, weight +0.72); Acsm1 (raw -0.03, weight +0.65); Ugt3a2 (raw -0.07, weight +0.64); Ugt2b38 (raw -0.15, weight +0.62); Fmo2 (raw -0.00, weight +0.56); Acsm5 (raw -0.00, weight +0.55); Acsm2 (raw -0.06, weight +0.54)
kidney	R-MMU-2142753_ARACHIDONATE_METABOLISM	Arachidonate Metabolism	exclude	weak_support	-0.0744308441725147	28	0.2857142857142857	0.1232004080603184	0.5	0.4718878671935427	0.40877453357635163	0.08483853311439518	Cyp1b1 (raw +0.26, weight -0.46); Ltc4s (raw -0.03, weight +0.24); Cyp4a12b (raw +0.15, weight -0.20); Akr1c14 (raw +0.00, weight -0.16); Ptgds (raw +0.25, weight -0.12); Akr1c19 (raw -0.04, weight +0.11); Gpx1 (raw -0.00, weight +0.11); Dpep1 (raw +0.14, weight -0.10)
kidney	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Binding And Uptake Of Ligands By Scavenger Receptors	exclude	weak_support	-0.0919729737690058	30	0.3	0.08359559768674917	0.5	0.4666282132982223	0.23881904445546098	0.49321468298109006	Jchain (raw -0.20, weight +0.54); Cd163 (raw -0.01, weight +0.43); Ighv1-55 (raw -0.09, weight +0.35); Igkv1-135 (raw -0.07, weight +0.35); Ighv1-26 (raw -0.05, weight +0.31); Apol7b (raw -0.07, weight +0.25); Masp1 (raw +0.26, weight -0.23); Iglc1 (raw -0.02, weight +0.21)
kidney	R-MMU-2672351_STIMULI_SENSING_CHANNELS	Stimuli Sensing Channels	exclude	seed_inconsistent	-0.0135777512061402	24	0.25	0.04186087808212302	0.5833333333333334	0.4662168010561385	0.38364731625076304	0.2713043478260869	Mcoln2 (raw +0.08, weight +0.37); Scnn1b (raw +0.04, weight +0.34); Scnn1g (raw +0.02, weight +0.33); Clcnka (raw +0.07, weight +0.33); Bsnd (raw +0.05, weight +0.31); Clcnkb (raw +0.04, weight +0.26); Ttyh3 (raw +0.12, weight +0.21); Tsc22d3 (raw +0.04, weight +0.18)
kidney	R-MMU-3000178_ECM_PROTEOGLYCANS	Ecm Proteoglycans	main_candidate	coherent_aligned	0.0955466980116227	28	0.8571428571428571	0.15891548287852153	0.75	0.8004037854496169	0.7704765803025115	0.11767925561029009	Tnxb (raw +0.14, weight +0.58); Bgn (raw +0.29, weight +0.44); Col2a1 (raw -0.02, weight -0.42); Tnn (raw +0.38, weight +0.41); Col5a3 (raw +0.33, weight +0.35); Col6a3 (raw +0.18, weight +0.34); Dcn (raw +0.03, weight +0.34); Col6a1 (raw +0.24, weight +0.32)
kidney	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Regulation Of Insulin Like Growth Factor Igf Transport And Uptake By Insulin Like Growth Factor Binding Proteins Igfbps	main_candidate	coherent_complementary	0.0774237467997076	75	0.8133333333333334	0.10511482122090439	0.56	0.6290625043952774	0.5981000999081398	0.08716927453769559	Chgb (raw +0.06, weight +0.67); Igfbp2 (raw +0.31, weight +0.66); Spp2 (raw -0.03, weight -0.56); Fstl1 (raw +0.13, weight +0.34); Sparcl1 (raw +0.23, weight +0.34); Vgf (raw +0.00, weight +0.33); Lgals1 (raw +0.12, weight +0.32); Rcn1 (raw +0.02, weight +0.31)
kidney	R-MMU-392499_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	exclude	broad_redundant	0.136244265058479	324	0.7438271604938271	0.06404022932379114	0.5432098765432098	0.5858574910268571	0.5839423859306448	0.15913841920033872	Lypd3 (raw +0.03, weight +0.53); Lep (raw +0.02, weight +0.46); mt-Nd4l (raw -0.09, weight -0.45); Vgf (raw +0.00, weight +0.45); Spon2 (raw +0.13, weight +0.45); Muc19 (raw +0.02, weight +0.44); Muc4 (raw +0.01, weight +0.43); Nrn1 (raw +0.02, weight +0.42)
kidney	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	G Alpha I Signalling Events	exclude	broad_redundant	-0.0933322681286549	78	0.38461538461538464	0.03997508628370205	0.5512820512820513	0.5554120673710966	0.5493088524846317	0.2691755660568358	Rgs1 (raw -0.00, weight +0.64); Ccr7 (raw -0.09, weight +0.52); Ccr1 (raw -0.06, weight +0.48); Cxcl12 (raw +0.04, weight -0.45); Ccl21a (raw +0.18, weight -0.36); Ccl4 (raw -0.10, weight +0.36); Npy (raw +0.15, weight -0.32); Rgs5 (raw +0.18, weight -0.32)
kidney	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	Smooth Muscle Contraction	exclude	composition_sensitive	0.0839337876619882	15	1.0	0.1798155462006991	0.9333333333333333	0.9991915370246494	0.9878879552121951	0.47857142857142854	Tpm2 (raw +0.24, weight +0.58); Cald1 (raw +0.21, weight +0.49); Myl9 (raw +0.15, weight +0.46); Tpm1 (raw +0.14, weight +0.39); Acta2 (raw +0.32, weight +0.39); Myh11 (raw +0.36, weight +0.35); Actg2 (raw +0.17, weight +0.30); Gucy1a1 (raw +0.32, weight +0.30)
