gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000047205	13	1	2	0	4
ENSMUSG00000024424	13	12	11	0	5
ENSMUSG00000028416	11	0	12	6	6
ENSMUSG00000032782	3	3	2	0	4
ENSMUSG00000055194	3	2	1	0	0
ENSMUSG00000029229	13	11	5	0	14
ENSMUSG00000065532	3	2	1	0	0
ENSMUSG00000084845	3	2	1	0	0
ENSMUSG00000032899	3	12	7	0	4
ENSMUSG00000063434	3	1	1	0	0
ENSMUSG00000032199	11	0	12	6	2
ENSMUSG00000017405	3	2	1	0	0
ENSMUSG00000036223	3	2	1	0	0
ENSMUSG00000043859	3	2	1	0	0
ENSMUSG00000037600	3	2	1	0	0
ENSMUSG00000038765	3	2	1	0	0
ENSMUSG00000021239	3	12	2	0	4
ENSMUSG00000068523	0	0	12	6	6
ENSMUSG00000032096	11	9	6	6	3
ENSMUSG00000023348	3	8	2	0	4
ENSMUSG00000019820	9	9	4	6	3
ENSMUSG00000041681	3	2	1	0	0
ENSMUSG00000054162	13	13	9	0	1
ENSMUSG00000088464	3	2	1	0	0
ENSMUSG00000064065	13	7	0	0	6
ENSMUSG00000054951	3	2	1	0	0
ENSMUSG00000047866	7	10	6	6	3
ENSMUSG00000074519	13	8	1	0	0
ENSMUSG00000065468	3	2	1	0	0
ENSMUSG00000030170	3	2	1	0	0
ENSMUSG00000070524	3	2	1	0	0
ENSMUSG00000085122	3	2	1	0	0
ENSMUSG00000053004	3	2	1	0	0
ENSMUSG00000063689	3	2	1	0	0
ENSMUSG00000026566	3	12	2	0	9
ENSMUSG00000038797	3	2	1	0	0
ENSMUSG00000040877	3	2	1	0	0
ENSMUSG00000015776	13	11	5	0	9
ENSMUSG00000115705	3	2	1	0	0
ENSMUSG00000061961	3	2	1	0	0
ENSMUSG00000096421	3	2	1	0	0
ENSMUSG00000097697	3	2	1	0	0
ENSMUSG00000039275	0	0	12	0	2
ENSMUSG00000008730	9	9	6	6	3
ENSMUSG00000057863	11	0	4	6	10
ENSMUSG00000021266	13	7	12	0	2
ENSMUSG00000025156	0	0	12	6	2
ENSMUSG00000095172	3	2	1	0	0
ENSMUSG00000021592	3	8	1	0	0
ENSMUSG00000039953	9	6	9	9	11
ENSMUSG00000018796	6	14	14	5	10
ENSMUSG00000027439	13	7	0	0	6
ENSMUSG00000048502	3	2	1	0	0
ENSMUSG00000089942	3	3	2	0	14
ENSMUSG00000019528	0	7	8	0	9
ENSMUSG00000052922	3	2	1	0	0
ENSMUSG00000040820	13	8	2	0	4
ENSMUSG00000039345	3	2	1	0	0
ENSMUSG00000048218	3	8	2	0	4
ENSMUSG00000014773	3	3	2	0	4
ENSMUSG00000064329	13	5	0	0	6
ENSMUSG00000037001	3	8	1	0	0
ENSMUSG00000020152	9	14	6	6	3
ENSMUSG00000040322	13	7	7	0	13
ENSMUSG00000109020	3	2	1	0	0
ENSMUSG00000019301	3	2	1	0	0
ENSMUSG00000025551	3	13	0	0	6
ENSMUSG00000028707	3	2	1	0	0
ENSMUSG00000063672	3	2	1	0	0
ENSMUSG00000036644	0	0	12	6	2
ENSMUSG00000030142	3	2	1	0	0
ENSMUSG00000065485	3	2	1	0	0
ENSMUSG00000011154	3	2	1	0	0
ENSMUSG00000042121	13	11	3	0	2
ENSMUSG00000022116	3	2	1	0	0
ENSMUSG00000006527	13	11	8	0	9
ENSMUSG00000021187	3	8	1	0	0
ENSMUSG00000039100	9	14	6	6	3
ENSMUSG00000092528	3	2	1	0	0
ENSMUSG00000092752	3	2	1	0	0
ENSMUSG00000062760	3	1	2	0	1
ENSMUSG00000005813	13	4	6	0	2
ENSMUSG00000042684	3	8	1	0	0
ENSMUSG00000051550	3	8	1	0	0
ENSMUSG00000000125	3	2	1	0	0
ENSMUSG00000075209	3	2	1	0	0
ENSMUSG00000075141	3	2	1	0	0
ENSMUSG00000074652	3	8	2	0	4
ENSMUSG00000079415	3	2	1	0	0
ENSMUSG00000028164	13	12	13	0	8
ENSMUSG00000006476	0	5	9	6	11
ENSMUSG00000049052	3	2	1	0	0
ENSMUSG00000011305	13	1	2	0	4
ENSMUSG00000046486	3	2	1	0	0
ENSMUSG00000028857	13	12	2	0	4
ENSMUSG00000026526	11	0	14	6	6
ENSMUSG00000002731	3	8	1	0	4
ENSMUSG00000099207	3	2	1	0	0
ENSMUSG00000070458	3	2	1	0	0
ENSMUSG00000098659	3	2	1	0	0
ENSMUSG00000029409	3	2	1	0	0
ENSMUSG00000037149	0	0	6	6	6
ENSMUSG00000095864	3	2	1	0	0
ENSMUSG00000074776	3	2	1	0	0
ENSMUSG00000037857	11	10	6	6	3
ENSMUSG00000028678	3	8	5	0	9
ENSMUSG00000071138	3	2	1	0	0
ENSMUSG00000027196	3	2	1	0	0
ENSMUSG00000050390	13	7	7	0	13
ENSMUSG00000022674	0	13	0	0	6
ENSMUSG00000063838	3	2	1	0	0
ENSMUSG00000031505	13	12	12	0	4
ENSMUSG00000029458	0	10	6	6	2
ENSMUSG00000044156	3	8	2	0	4
ENSMUSG00000096405	3	2	1	0	0
ENSMUSG00000028729	13	11	5	0	9
ENSMUSG00000065577	3	2	1	0	0
ENSMUSG00000061132	13	4	3	0	12
ENSMUSG00000021557	0	5	0	6	6
ENSMUSG00000053838	0	0	12	6	2
ENSMUSG00000061039	3	2	1	0	0
ENSMUSG00000045625	3	2	1	0	0
ENSMUSG00000046447	11	6	9	9	11
ENSMUSG00000017861	3	8	1	0	0
ENSMUSG00000046854	3	2	1	0	0
ENSMUSG00000036751	9	5	14	14	10
ENSMUSG00000041219	13	3	5	0	14
ENSMUSG00000045107	3	2	1	0	0
ENSMUSG00000029452	3	2	1	0	0
ENSMUSG00000076983	3	2	1	0	0
ENSMUSG00000031424	3	2	1	0	0
ENSMUSG00000068437	3	2	1	0	0
ENSMUSG00000052336	3	12	2	0	4
ENSMUSG00000005947	3	8	1	0	0
ENSMUSG00000021256	3	2	1	0	0
ENSMUSG00000029110	0	10	6	6	3
ENSMUSG00000020435	13	7	12	0	1
ENSMUSG00000006143	3	8	1	0	0
ENSMUSG00000020295	3	2	1	0	0
ENSMUSG00000025439	13	7	5	0	14
ENSMUSG00000028023	3	2	1	0	4
ENSMUSG00000023243	13	12	7	0	8
ENSMUSG00000039087	0	4	6	6	2
ENSMUSG00000002981	11	0	12	6	2
ENSMUSG00000031133	0	4	3	0	12
ENSMUSG00000052730	3	2	1	0	0
ENSMUSG00000024232	3	8	1	0	0
ENSMUSG00000022231	0	10	6	6	13
ENSMUSG00000091006	3	2	1	0	0
ENSMUSG00000089139	3	2	1	0	0
ENSMUSG00000044701	3	2	1	0	0
ENSMUSG00000094098	3	2	1	0	0
ENSMUSG00000031622	0	10	12	6	2
ENSMUSG00000036186	3	1	1	0	4
ENSMUSG00000079557	0	0	6	6	6
ENSMUSG00000107623	3	2	1	0	0
ENSMUSG00000048222	0	10	6	0	3
ENSMUSG00000001655	3	2	1	0	0
ENSMUSG00000021795	13	7	12	0	13
ENSMUSG00000031162	3	2	1	0	0
ENSMUSG00000026042	0	10	4	6	13
ENSMUSG00000044433	13	12	2	0	4
ENSMUSG00000045331	3	2	1	0	0
ENSMUSG00000038240	13	8	2	0	4
ENSMUSG00000053799	0	7	13	0	6
ENSMUSG00000039089	13	3	2	0	14
ENSMUSG00000047889	3	2	1	0	0
ENSMUSG00000074441	3	2	1	0	0
ENSMUSG00000037966	13	12	2	0	4
ENSMUSG00000043727	3	2	1	0	0
ENSMUSG00000069823	3	2	1	0	0
ENSMUSG00000020623	3	2	1	0	0
ENSMUSG00000079036	13	3	2	0	14
ENSMUSG00000066007	3	2	1	0	0
ENSMUSG00000000384	13	11	5	0	2
ENSMUSG00000074634	3	2	1	0	0
ENSMUSG00000073538	3	8	1	0	0
ENSMUSG00000034997	3	2	1	0	0
ENSMUSG00000020916	3	2	1	0	0
ENSMUSG00000037643	0	10	12	0	13
ENSMUSG00000110521	3	2	1	0	0
ENSMUSG00000050106	3	3	2	0	14
ENSMUSG00000070427	3	8	2	0	0
ENSMUSG00000030751	0	10	6	6	6
ENSMUSG00000101483	3	2	1	0	0
ENSMUSG00000045102	3	2	1	0	0
ENSMUSG00000092847	3	2	1	0	0
ENSMUSG00000041923	3	1	2	0	1
ENSMUSG00000022142	13	4	5	0	9
ENSMUSG00000038523	3	2	1	0	0
ENSMUSG00000027581	13	5	9	9	11
ENSMUSG00000072825	0	5	9	6	11
ENSMUSG00000037275	13	11	5	0	9
ENSMUSG00000042195	3	2	1	0	0
ENSMUSG00000048175	13	12	2	0	4
ENSMUSG00000030374	0	10	12	6	2
ENSMUSG00000063446	3	2	1	0	0
ENSMUSG00000014077	11	14	12	6	13
ENSMUSG00000038604	13	7	12	0	2
ENSMUSG00000083282	13	13	12	0	6
ENSMUSG00000105987	0	4	3	0	12
ENSMUSG00000065686	3	2	1	0	0
ENSMUSG00000066306	9	9	4	6	2
ENSMUSG00000062892	3	2	1	0	0
ENSMUSG00000045237	3	2	1	0	0
ENSMUSG00000040918	13	8	2	0	4
ENSMUSG00000069041	3	8	1	0	0
ENSMUSG00000044254	3	2	1	0	0
