direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
down_in_flight	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Scf Beta Trcp Mediated Degradation Of Emi1	1	OSD-245	0.043265096779460784	-0.34845870706473925	
down_in_flight	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Slc Mediated Transmembrane Transport	1	OSD-245	0.043265096779460784	-0.21317996498664632	
down_in_flight	REACTOME_MRNA_3_END_PROCESSING	Mrna 3 End Processing	1	OSD-463	0.04393833707886307	-0.8817657990821376	
down_in_flight	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Apc C Cdh1 Mediated Degradation Of Cdc20 And Other Apc C Cdh1 Targeted Proteins In Late Mitosis Early G1	1	OSD-245	0.04517429278985286	-0.3603119796449788	
down_in_flight	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	Class B 2 Secretin Family Receptors	1	OSD-245	0.04517429278985286	-0.45309177211153945	
down_in_flight	REACTOME_METABOLISM_OF_POLYAMINES	Metabolism Of Polyamines	1	OSD-245	0.04517429278985286	-0.8265449158641286	
down_in_flight	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Metabolism Of Vitamins And Cofactors	1	OSD-245	0.04517429278985286	-0.36939246662151903	
down_in_flight	REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	Sphingolipid De Novo Biosynthesis	1	OSD-245	0.04543246090307659	-0.6974761740829017	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_MEIOSIS	Meiosis	1	OSD-379	0.04573610087494998	0.5389532738971803	
down_in_flight	REACTOME_MITOTIC_G1_G1_S_PHASES	Mitotic G1 G1 S Phases	1	OSD-245	0.047450655256607015	-0.21972754918335477	
up_in_flight	REACTOME_IL1_SIGNALING	Il1 Signaling	1	OSD-379	0.0476971081297931	0.5262644278434294	
up_in_flight	REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	Energy Dependent Regulation Of Mtor By Lkb1 Ampk	1	OSD-379	0.04786134472014382	0.7005436788185444	
up_in_flight	REACTOME_MRNA_SPLICING_MINOR_PATHWAY	Mrna Splicing Minor Pathway	1	OSD-379	0.04786134472014382	0.5997188904982302	
down_in_flight	REACTOME_SPHINGOLIPID_METABOLISM	Sphingolipid Metabolism	1	OSD-245	0.04789829057578313	-0.4335151786539101	lipid_steroid_xenobiotic_metabolism
down_in_flight	REACTOME_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	1	OSD-463	0.04847227019246987	-0.5564876040686297	
down_in_flight	REACTOME_P75NTR_SIGNALS_VIA_NFKB	P75Ntr Signals Via Nfkb	1	OSD-463	0.04966475528506225	-1.1618888846706712	
up_in_flight	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	Mitochondrial Trna Aminoacylation	1	OSD-379	0.04983333667643939	0.5989381670475193	translation_ribosome
