direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	Circadian Repression Of Expression By Rev Erba	2	OSD-245,OSD-379	0.0009004557188151206	1.5006853720922182	
up_in_flight	REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	Assembly Of The Pre Replicative Complex	2	OSD-379,OSD-463	0.0009464186498340322	0.652397488586236	
down_in_flight	REACTOME_INTERFERON_SIGNALING	Interferon Signaling	2	OSD-245,OSD-463	0.0010424296492370002	-0.523175040351058	immune_complement_coagulation
up_in_flight	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	Activation Of Nf Kappab In B Cells	2	OSD-379,OSD-463	0.0013651929670861096	0.6447896465498382	
up_in_flight	REACTOME_CELL_CYCLE_CHECKPOINTS	Cell Cycle Checkpoints	2	OSD-379,OSD-463	0.001611973672549025	0.48491260583061313	
up_in_flight	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	Regulation Of Ornithine Decarboxylase Odc	2	OSD-379,OSD-463	0.0017683536026494094	0.8159899741276708	
down_in_flight	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular Matrix Organization	2	OSD-245,OSD-463	0.0020426567676936633	-0.6687191142600258	
up_in_flight	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	Cdt1 Association With The Cdc6 Orc Origin Complex	2	OSD-379,OSD-463	0.0020568679164524395	0.7597337580295752	
up_in_flight	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Cross Presentation Of Soluble Exogenous Antigens Endosomes	2	OSD-379,OSD-463	0.002088197732402592	0.7704444442222316	
down_in_flight	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Integrin Cell Surface Interactions	2	OSD-245,OSD-463	0.002489633113135521	-0.6918200358971189	
down_in_flight	REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	Regulation Of Complement Cascade	2	OSD-245,OSD-463	0.002559567269587942	-1.3209632701014704	immune_complement_coagulation
up_in_flight	REACTOME_GLUCOSE_METABOLISM	Glucose Metabolism	2	OSD-379,OSD-463	0.0028090295578198504	0.7427800117462733	
down_in_flight	REACTOME_COLLAGEN_FORMATION	Collagen Formation	2	OSD-245,OSD-463	0.003040608166075152	-0.7792852712245993	
down_in_flight	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Post Translational Protein Modification	2	OSD-245,OSD-463	0.003057259337907885	-0.36705861189153444	translation_ribosome
down_in_flight	REACTOME_THE_NLRP3_INFLAMMASOME	The Nlrp3 Inflammasome	2	OSD-245,OSD-463	0.003057259337907885	-1.6679333732631976	immune_complement_coagulation
up_in_flight	REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	Scfskp2 Mediated Degradation Of P27 P21	2	OSD-379,OSD-463	0.0032562318799305595	0.6988943944071118	
up_in_flight	REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	Cyclin E Associated Events During G1 S Transition 	2	OSD-379,OSD-463	0.0038911257479568996	0.5908218600801263	
down_in_flight	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	Response To Elevated Platelet Cytosolic Ca2 	2	OSD-245,OSD-463	0.004401092211018275	-0.5812367200204788	immune_complement_coagulation
up_in_flight	REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	Rora Activates Circadian Expression	2	OSD-245,OSD-379	0.006725433336344909	1.2584875941543332	
