accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh
OSD-463	down_in_flight	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Growth Hormone Receptor Signaling	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	1305	9	23	19812	7.973641440248984e-06	ENSMUSG00000004040,ENSMUSG00000004043,ENSMUSG00000024789,ENSMUSG00000027540,ENSMUSG00000038037,ENSMUSG00000042228,ENSMUSG00000052593,ENSMUSG00000053113,ENSMUSG00000055737	0.0001507501400728746
OSD-463	down_in_flight	REACTOME_SIGNALING_BY_ILS	Signaling By Ils	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_ILS	1305	20	101	19812	8.049764761172916e-06	ENSMUSG00000004040,ENSMUSG00000004043,ENSMUSG00000020227,ENSMUSG00000021457,ENSMUSG00000021756,ENSMUSG00000024235,ENSMUSG00000024789,ENSMUSG00000025225,ENSMUSG00000026072,ENSMUSG00000026073,ENSMUSG00000026981,ENSMUSG00000027398,ENSMUSG00000031304,ENSMUSG00000032508,ENSMUSG00000039936,ENSMUSG00000041135,ENSMUSG00000042228,ENSMUSG00000053113,ENSMUSG00000059883,ENSMUSG00000071713	0.0001507501400728746
OSD-463	down_in_flight	REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	Activation Of Chaperone Genes By Xbp1S	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	1305	12	43	19812	1.4358288350919706e-05	ENSMUSG00000004460,ENSMUSG00000020571,ENSMUSG00000021427,ENSMUSG00000021978,ENSMUSG00000022136,ENSMUSG00000022844,ENSMUSG00000024807,ENSMUSG00000027808,ENSMUSG00000030104,ENSMUSG00000032115,ENSMUSG00000038074,ENSMUSG00000041096	0.00024648395002412163
OSD-463	down_in_flight	REACTOME_METAL_ION_SLC_TRANSPORTERS	Metal Ion Slc Transporters	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METAL_ION_SLC_TRANSPORTERS	1305	8	21	19812	3.252638081925688e-05	ENSMUSG00000003617,ENSMUSG00000013275,ENSMUSG00000021629,ENSMUSG00000024270,ENSMUSG00000025986,ENSMUSG00000029151,ENSMUSG00000034591,ENSMUSG00000054414	0.0005019094364767114
OSD-463	down_in_flight	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Integrin Cell Surface Interactions	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1305	16	77	19812	3.411035005181534e-05	ENSMUSG00000000290,ENSMUSG00000001281,ENSMUSG00000001506,ENSMUSG00000005947,ENSMUSG00000021457,ENSMUSG00000027540,ENSMUSG00000028001,ENSMUSG00000028364,ENSMUSG00000029661,ENSMUSG00000030789,ENSMUSG00000030830,ENSMUSG00000032796,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000037405,ENSMUSG00000039115	0.0005019094364767114
OSD-463	down_in_flight	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1305	15	70	19812	4.0760635215885937e-05	ENSMUSG00000018930,ENSMUSG00000021367,ENSMUSG00000024659,ENSMUSG00000025804,ENSMUSG00000026874,ENSMUSG00000029417,ENSMUSG00000031779,ENSMUSG00000034855,ENSMUSG00000035373,ENSMUSG00000035385,ENSMUSG00000049103,ENSMUSG00000060459,ENSMUSG00000060509,ENSMUSG00000071005,ENSMUSG00000079227	0.0005597793902981669
OSD-463	down_in_flight	REACTOME_COLLAGEN_FORMATION	Collagen Formation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COLLAGEN_FORMATION	1305	11	41	19812	4.8796787766981684e-05	ENSMUSG00000001506,ENSMUSG00000004846,ENSMUSG00000026042,ENSMUSG00000026043,ENSMUSG00000026837,ENSMUSG00000029661,ENSMUSG00000032374,ENSMUSG00000032383,ENSMUSG00000040690,ENSMUSG00000048126,ENSMUSG00000070436	0.0006282586424998891
OSD-463	down_in_flight	REACTOME_DIABETES_PATHWAYS	Diabetes Pathways	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DIABETES_PATHWAYS	1305	19	115	19812	0.0001778306268871908	ENSMUSG00000004460,ENSMUSG00000020429,ENSMUSG00000020571,ENSMUSG00000021427,ENSMUSG00000021629,ENSMUSG00000021978,ENSMUSG00000022136,ENSMUSG00000022844,ENSMUSG00000024807,ENSMUSG00000025408,ENSMUSG00000026864,ENSMUSG00000027808,ENSMUSG00000030104,ENSMUSG00000031770,ENSMUSG00000032115,ENSMUSG00000035385,ENSMUSG00000038074,ENSMUSG00000041096,ENSMUSG00000054414	0.0021251197541502353
OSD-463	down_in_flight	REACTOME_COMPLEMENT_CASCADE	Complement Cascade	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COMPLEMENT_CASCADE	1305	8	26	19812	0.0001856900756053604	ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000024371,ENSMUSG00000026874,ENSMUSG00000035031,ENSMUSG00000037942,ENSMUSG00000038521,ENSMUSG00000090231	0.0021251197541502353
OSD-463	down_in_flight	REACTOME_INTERFERON_SIGNALING	Interferon Signaling	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTERFERON_SIGNALING	1305	20	128	19812	0.0002638838336175441	ENSMUSG00000005087,ENSMUSG00000018899,ENSMUSG00000022504,ENSMUSG00000022884,ENSMUSG00000024789,ENSMUSG00000026999,ENSMUSG00000027540,ENSMUSG00000028270,ENSMUSG00000032690,ENSMUSG00000034438,ENSMUSG00000037405,ENSMUSG00000038037,ENSMUSG00000040033,ENSMUSG00000040264,ENSMUSG00000041515,ENSMUSG00000053113,ENSMUSG00000079362,ENSMUSG00000079363,ENSMUSG00000105096,ENSMUSG00000105504	0.0027231605584566504
