x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-14.785306,-9.860081,4.007028,AT1G02770,GC,0,16,5,3
3.1232421,-1.8171777,16.040644,AT1G02780,GC,11,0,9,8
-14.255247,11.017492,8.698247,AT1G02790,GC,0,0,12,3
-15.59211,1.9227841,17.573038,AT1G02800,GC,0,16,6,3
5.7177567,3.373863,-10.560029,AT1G02810,GC,18,4,3,2
-15.350378,-7.786703,16.173065,AT1G02813,GC,0,16,5,3
4.8684945,-3.865886,-16.709364,AT1G02816,GC,18,3,14,2
-9.136222,-11.304901,13.564351,AT1G02820,GC,0,16,11,3
-8.827526,13.6669,6.594253,AT1G02830,GC,0,0,12,3
18.568789,-9.663145,9.009315,AT1G02840,GC,8,0,13,1
3.7378957,-22.419317,-4.004913,AT1G02850,GC,19,1,8,5
1.7383316,-21.812193,-5.5726175,AT1G02860,GC,19,1,8,5
12.325758,0.53966403,-1.3815933,AT1G02870,GC,18,5,15,2
1.8974648,-8.711039,-16.271513,AT1G02880,GC,14,2,14,9
16.134161,-13.480413,9.689818,AT1G02890,GC,1,1,13,1
14.9653015,-8.6179905,12.044149,AT1G02900,GC,23,0,13,1
-2.4808583,7.6158967,0.10693903,AT1G02910,GC,6,7,7,0
3.6646242,-3.6728394,13.147548,AT1G02920,GC,21,17,9,8
3.998706,-3.8112853,12.942674,AT1G02930,GC,21,17,9,8
-0.1380725,17.224037,2.581016,AT1G02950,GC,6,9,7,0
-0.36570558,4.1836705,-3.434071,AT1G02960,GC,6,5,3,0
-6.468512,7.4273286,-14.307087,AT1G02970,GC,20,12,10,4
-6.4915686,-8.376175,3.4314942,AT1G02980,GC,0,15,11,11
7.2734547,-5.2041817,-14.577905,AT1G02990,GC,18,3,14,2
9.451726,1.9984264,1.7968266,AT1G03000,GC,18,6,15,2
1.3694156,23.884535,-4.8666773,AT1G03010,GC,6,10,16,0
-9.44559,5.0937886,16.603094,AT1G03020,GC,0,0,6,3
-1.4300733,4.791404,-3.704007,AT1G03030,GC,6,5,3,0
8.954532,-21.238504,-5.1347394,AT1G03040,GC,19,1,1,5
-15.217478,-9.983861,11.956672,AT1G03050,GC,0,16,5,3
-6.072761,-10.862832,10.538094,AT1G03055,GC,0,16,11,3
12.170509,-12.142627,10.993357,AT1G03060,GC,23,1,13,1
-12.708191,-7.0939965,-5.32119,AT1G03070,GC,20,15,18,4
16.763313,-6.7568893,11.56123,AT1G03080,GC,23,0,13,1
11.641834,-22.537226,1.7597351,AT1G03090,GC,12,1,1,5
-4.546757,15.535842,-15.87754,AT1G03100,GC,20,12,10,4
-8.20179,-11.801112,6.4346614,AT1G03106,GC,0,15,11,11
10.147211,2.5003057,4.863994,AT1G03110,GC,6,6,15,0
-11.762393,-11.787696,5.5671725,AT1G03120,GC,0,16,11,3
-17.451977,0.48320815,-6.880753,AT1G03130,GC,20,14,18,4
16.577456,-18.637419,2.7900512,AT1G03140,GC,12,1,1,5
10.155565,2.5306551,-7.1092854,AT1G03150,GC,18,4,3,2
7.5179462,10.571837,10.182939,AT1G03160,GC,6,8,15,0
-6.568845,-10.980402,11.602167,AT1G03170,GC,0,16,11,3
-3.5149274,12.388189,-15.481737,AT1G03180,GC,20,12,10,4
12.5989485,11.2089405,7.4236712,AT1G03190,GC,6,8,15,0
-10.47191,4.471718,1.9503149,AT1G03200,GC,20,14,18,4
2.4653115,-21.985996,-5.3228507,AT1G03210,GC,19,1,8,5
5.5959444,-0.091651015,18.413391,AT1G03220,GC,24,0,9,8
-0.09427806,-12.884739,0.7186294,AT1G03230,GC,4,1,2,6
-10.66846,2.6356938,19.111267,AT1G03240,GC,0,16,6,3
7.255725,3.3074813,-2.0968149,AT1G03250,GC,18,5,3,2
13.538906,14.245092,1.7219204,AT1G03260,GC,6,9,0,0
-15.862526,-8.380618,-6.721518,AT1G03270,GC,20,14,10,4
0.11574185,-16.706524,1.7036234,AT1G03280,GC,19,1,19,5
3.0615287,-22.341423,-2.6747973,AT1G03290,GC,19,1,8,5
-15.259416,-5.435165,-8.343631,AT1G03300,GC,20,14,18,4
14.413747,10.805621,1.0929159,AT1G03310,GC,6,9,15,0
-1.9520348,-10.400524,-10.268812,AT1G03330,GC,14,2,14,9
-12.664833,12.282785,-4.024777,AT1G03340,GC,20,13,4,4
8.277889,-19.562439,6.8890104,AT1G03350,GC,17,1,19,5
3.4338582,3.782072,6.0522623,AT1G03360,GC,6,6,7,0
6.5277996,3.3115036,5.724253,AT1G03365,GC,6,6,15,0
0.12047784,-20.986168,-2.3741314,AT1G03370,GC,19,1,8,5
15.509595,-20.0526,2.3454382,AT1G03380,GC,12,1,1,5
4.1798706,21.997147,-9.46468,AT1G03400,GC,20,11,16,4
5.960791,23.525942,0.1427545,AT1G03410,GC,6,10,0,0
6.41237,2.6870608,0.27565512,AT1G03430,GC,18,6,3,2
-13.753951,11.509852,-9.000886,AT1G03440,GC,20,13,4,4
-8.681351,-11.360027,4.7804084,AT1G03445,GC,0,15,11,11
9.4045,2.2668014,-9.357468,AT1G03457,GC,18,4,3,2
2.6198425,16.044252,7.7425127,AT1G03470,GC,6,9,7,0
-3.1759412,-11.9544525,-6.3236156,AT1G03475,GC,14,1,8,5
-14.013541,-9.710559,14.890617,AT1G03495,GC,0,16,5,3
-17.211784,-0.23682086,-6.0696063,AT1G03510,GC,20,14,18,4
10.227339,15.744613,-5.3650594,AT1G03520,GC,6,10,10,0
12.990664,-1.0018661,-1.0008147,AT1G03530,GC,18,5,15,2
-16.328074,-9.109097,-5.852104,AT1G03540,GC,20,16,5,3
-8.433724,1.099072,2.7620888,AT1G03545,GC,20,15,18,4
-2.7634492,9.977016,-1.9314896,AT1G03550,GC,6,7,7,0
12.149265,11.432817,7.911501,AT1G03560,GC,6,8,15,0
10.359332,-5.7644415,-5.814246,AT1G03590,GC,14,3,2,6
-13.364532,-0.17462808,-12.628961,AT1G03600,GC,20,14,10,4
-2.2658436,-10.593656,-17.295603,AT1G03610,GC,14,2,14,9
3.7723398,24.010767,-1.4806793,AT1G03620,GC,6,10,0,0
-15.769797,-8.176883,-6.930404,AT1G03630,GC,20,14,10,4
-3.1079848,22.470001,-8.494204,AT1G03650,GC,20,11,16,4
-10.115107,16.427225,-4.5666165,AT1G03660,GC,20,13,4,4
11.610523,12.549422,-4.3617387,AT1G03680,GC,6,11,10,0
-0.5234877,5.0306864,3.6274385,AT1G03687,GC,6,7,7,0
-2.120264,10.292292,-14.356299,AT1G03700,GC,6,12,10,0
-5.2724996,-3.7715251,15.196084,AT1G03710,GC,0,17,6,3
-2.688722,10.05969,-1.1888659,AT1G03730,GC,6,7,7,0
15.544518,-18.583986,-1.6454974,AT1G03740,GC,12,1,1,5
3.032233,9.582508,9.154427,AT1G03750,GC,6,7,7,0
5.0453525,2.9768608,4.8541675,AT1G03760,GC,6,6,15,0
4.6682725,6.801569,8.740509,AT1G03770,GC,6,7,7,0
13.894349,5.9559917,5.5081587,AT1G03780,GC,6,8,15,0
-22.029814,5.154394,6.6360292,AT1G03790,GC,0,17,17,3
-10.100949,-12.185854,6.495106,AT1G03800,GC,0,16,11,3
-22.05337,-0.7137262,7.1683173,AT1G03810,GC,0,17,17,3
