x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
-19.832792,-84.994835,AT1G01430,1,13,6,21,7
7.606821,-31.289167,AT1G01440,1,17,7,0,10
7.3136134,-90.384125,AT1G01448,1,4,5,4,2
-17.74909,22.868275,AT1G01450,1,0,11,15,0
-13.034919,22.007124,AT1G01453,1,0,11,3,0
42.585056,-53.075203,AT1G01470,1,2,0,9,9
-22.006514,25.314932,AT1G01480,1,0,12,15,0
65.02289,22.694818,AT1G01490,1,11,4,10,11
22.80158,-15.896851,AT1G01500,1,17,7,2,10
51.135452,36.26568,AT1G01510,1,12,3,7,8
-25.696106,70.58354,AT1G01520,1,0,13,6,0
23.578089,-66.493004,AT1G01540,1,19,5,23,2
64.5483,-50.04987,AT1G01550,1,7,0,9,9
-45.368404,1.271061,AT1G01560,1,17,10,8,1
-46.52516,15.659006,AT1G01570,1,0,10,18,0
24.41189,0.11473569,AT1G01580,1,17,8,2,1
15.520456,38.776703,AT1G01600,1,0,13,18,0
-3.6414242,39.838306,AT1G01610,1,0,12,18,0
-69.44811,-51.70527,AT1G01620,1,6,2,16,3
40.16108,-46.019325,AT1G01630,1,2,0,9,9
42.481457,-54.49876,AT1G01640,1,2,5,9,9
71.586334,4.639034,AT1G01650,1,16,1,13,4
-66.632744,-2.1394556,AT1G01660,1,17,10,8,1
-82.37662,0.6902208,AT1G01670,1,17,10,19,1
-43.953835,73.93848,AT1G01680,1,0,13,24,0
18.60855,-18.381308,AT1G01690,1,17,7,2,10
4.6477556,74.627815,AT1G01695,1,0,13,12,0
-6.8157496,27.81611,AT1G01700,1,0,11,3,0
15.633336,-14.600144,AT1G01710,1,17,7,2,10
-73.036545,3.8564844,AT1G01715,1,17,10,8,1
56.090862,-59.939873,AT1G01720,1,9,0,14,5
46.54339,-43.742615,AT1G01725,1,2,0,9,9
51.11801,50.89088,AT1G01730,1,12,3,5,8
-69.99801,9.034632,AT1G01740,1,17,10,8,1
-48.645515,-70.56459,AT1G01750,1,14,5,17,5
22.487587,-31.010376,AT1G01760,1,17,7,0,10
32.990116,-72.84743,AT1G01770,1,19,5,14,2
-22.279295,-87.49218,AT1G01780,1,13,6,21,7
-38.331547,-13.533236,AT1G01790,1,17,9,20,1
69.13971,-38.825935,AT1G01800,1,7,0,22,14
-1.4171809,36.756065,AT1G01810,1,0,12,18,0
44.979427,56.34112,AT1G01820,1,12,3,5,8
-17.063553,-76.605675,AT1G01830,1,13,6,21,7
-65.26556,8.934878,AT1G01840,1,17,10,8,1
-61.574524,9.438469,AT1G01860,1,17,10,8,1
14.522232,38.79667,AT1G01880,1,0,13,18,0
-17.71041,11.468775,AT1G01900,1,0,10,3,0
44.74811,45.898006,AT1G01910,1,12,3,7,8
77.814926,23.002556,AT1G01920,1,11,1,10,4
