gene	gmm_cluster	hdbscan_cluster	spectral_cluster	consensus_cluster
ENSMUSG00000022037	8	-1	0	7
ENSMUSG00000085260	2	1	11	10
ENSMUSG00000029610	7	1	2	1
ENSMUSG00000042185	0	-1	0	11
ENSMUSG00000067525	2	1	11	10
ENSMUSG00000006021	12	1	2	4
ENSMUSG00000046408	1	1	11	3
ENSMUSG00000020599	5	1	12	0
ENSMUSG00000030775	5	-1	0	0
ENSMUSG00000015149	6	-1	0	0
ENSMUSG00000046434	3	-1	0	6
ENSMUSG00000031377	11	1	11	3
ENSMUSG00000031774	0	-1	0	11
ENSMUSG00000096840	2	1	3	2
ENSMUSG00000050627	3	-1	0	6
ENSMUSG00000031878	4	-1	0	0
ENSMUSG00000030322	7	1	2	1
ENSMUSG00000029541	11	1	2	9
ENSMUSG00000020696	7	-1	2	13
ENSMUSG00000097162	11	1	2	9
ENSMUSG00000113189	1	1	11	3
ENSMUSG00000045201	12	1	2	4
ENSMUSG00000058513	1	1	11	3
ENSMUSG00000059479	12	1	2	4
ENSMUSG00000077239	2	1	3	2
ENSMUSG00000031755	7	1	2	1
ENSMUSG00000076253	2	1	3	2
ENSMUSG00000038379	7	1	2	1
ENSMUSG00000002109	7	1	2	1
ENSMUSG00000041840	7	1	2	1
ENSMUSG00000049691	1	1	11	3
ENSMUSG00000021555	0	-1	0	11
ENSMUSG00000022814	7	-1	2	13
ENSMUSG00000028782	6	1	9	5
ENSMUSG00000095028	11	1	2	9
ENSMUSG00000057223	2	1	11	10
ENSMUSG00000034413	5	-1	0	0
ENSMUSG00000087579	7	1	2	1
ENSMUSG00000025127	7	1	8	1
ENSMUSG00000030222	7	1	2	1
ENSMUSG00000040133	11	1	2	9
ENSMUSG00000027845	7	1	2	1
ENSMUSG00000028003	7	-1	2	13
ENSMUSG00000030054	11	1	11	3
ENSMUSG00000093980	2	1	3	2
ENSMUSG00000034227	12	1	2	4
ENSMUSG00000003435	3	-1	0	6
ENSMUSG00000049280	12	1	10	4
ENSMUSG00000022309	5	-1	2	0
ENSMUSG00000093460	12	1	2	4
ENSMUSG00000075064	2	1	11	10
ENSMUSG00000029684	3	-1	0	6
ENSMUSG00000027531	9	-1	0	8
ENSMUSG00000091541	1	1	10	3
ENSMUSG00000031565	3	-1	0	6
ENSMUSG00000101078	2	1	11	10
ENSMUSG00000070047	8	-1	0	7
ENSMUSG00000030057	3	-1	0	6
ENSMUSG00000050121	12	1	2	4
ENSMUSG00000024353	13	-1	0	14
ENSMUSG00000060002	8	-1	0	7
ENSMUSG00000054406	2	1	3	2
ENSMUSG00000065569	2	1	7	2
ENSMUSG00000034471	5	-1	0	0
ENSMUSG00000028246	10	1	9	5
ENSMUSG00000092815	2	1	7	2
ENSMUSG00000022749	9	-1	0	8
ENSMUSG00000029919	7	-1	2	13
ENSMUSG00000000739	12	1	2	4
ENSMUSG00000037020	12	1	2	4
ENSMUSG00000035933	9	0	0	8
ENSMUSG00000116611	2	1	3	2
ENSMUSG00000059639	1	1	11	3
ENSMUSG00000028359	11	1	11	3
ENSMUSG00000021464	11	1	2	9
ENSMUSG00000044338	12	1	2	4
ENSMUSG00000002633	11	1	2	9
ENSMUSG00000069722	7	1	14	1
ENSMUSG00000067713	0	-1	0	11
ENSMUSG00000021591	5	-1	2	0
ENSMUSG00000069184	11	1	2	9
ENSMUSG00000027171	12	1	2	4
ENSMUSG00000031539	6	-1	9	5
ENSMUSG00000075145	2	1	3	2
ENSMUSG00000022221	12	1	2	4
ENSMUSG00000063386	1	1	11	3
ENSMUSG00000056782	12	1	10	4
ENSMUSG00000025410	3	-1	0	6
ENSMUSG00000027332	3	-1	0	6
ENSMUSG00000025268	5	-1	2	0
ENSMUSG00000026519	5	-1	0	0
ENSMUSG00000043323	0	-1	0	11
ENSMUSG00000060803	3	-1	8	6
ENSMUSG00000026117	7	-1	0	0
ENSMUSG00000073906	2	1	3	2
ENSMUSG00000098912	6	-1	9	5
ENSMUSG00000062175	7	1	2	1
ENSMUSG00000028035	3	-1	0	6
ENSMUSG00000039656	0	-1	0	11
ENSMUSG00000024955	3	-1	0	6
ENSMUSG00000018921	7	1	2	1
ENSMUSG00000047751	1	1	2	1
ENSMUSG00000032257	1	1	11	3
ENSMUSG00000015342	10	1	2	1
ENSMUSG00000059623	1	1	10	3
ENSMUSG00000047904	11	1	2	9
ENSMUSG00000001348	13	-1	0	14
ENSMUSG00000027965	4	-1	9	5
ENSMUSG00000031891	14	-1	0	0
ENSMUSG00000069089	7	1	2	1
ENSMUSG00000027186	12	1	2	4
ENSMUSG00000030934	3	-1	0	6
ENSMUSG00000040037	4	-1	9	5
ENSMUSG00000055720	0	-1	2	11
ENSMUSG00000060688	2	1	11	10
ENSMUSG00000050213	12	1	2	4
ENSMUSG00000054423	6	-1	9	5
ENSMUSG00000053914	2	1	11	10
ENSMUSG00000017211	1	1	11	3
ENSMUSG00000097520	1	1	11	3
ENSMUSG00000019944	14	-1	2	13
ENSMUSG00000034893	9	-1	0	8
ENSMUSG00000034269	9	-1	0	8
ENSMUSG00000044339	11	1	2	9
ENSMUSG00000027575	0	-1	0	11
ENSMUSG00000085162	1	1	11	3
ENSMUSG00000040247	13	-1	0	14
ENSMUSG00000090862	3	-1	0	6
ENSMUSG00000023106	0	-1	0	11
ENSMUSG00000075201	2	1	11	10
ENSMUSG00000054598	11	1	11	3
ENSMUSG00000006276	9	-1	0	8
ENSMUSG00000038199	2	1	11	10
ENSMUSG00000060187	7	1	2	1
ENSMUSG00000047502	1	1	11	3
ENSMUSG00000059689	12	1	2	4
ENSMUSG00000036737	9	-1	0	8
ENSMUSG00000033379	3	-1	0	6
ENSMUSG00000040749	7	1	2	1
ENSMUSG00000096714	1	1	11	3
ENSMUSG00000112223	11	1	2	9
ENSMUSG00000039936	13	-1	0	14
ENSMUSG00000062433	12	1	14	4
ENSMUSG00000060450	3	-1	9	5
ENSMUSG00000091204	2	1	3	2
ENSMUSG00000075113	1	1	11	3
ENSMUSG00000027530	7	1	2	1
ENSMUSG00000041135	12	1	2	4
ENSMUSG00000018340	3	-1	0	6
ENSMUSG00000017299	12	1	2	4
ENSMUSG00000057230	3	-1	9	5
ENSMUSG00000056901	2	1	3	2
ENSMUSG00000041079	11	1	2	9
ENSMUSG00000030127	6	-1	0	0
ENSMUSG00000055971	2	1	3	2
ENSMUSG00000066149	7	-1	2	13
ENSMUSG00000032563	0	-1	0	11
ENSMUSG00000027244	0	-1	0	11
ENSMUSG00000028523	11	1	2	9
ENSMUSG00000038762	0	-1	0	11
ENSMUSG00000077972	2	1	11	10
ENSMUSG00000027784	6	-1	9	5
ENSMUSG00000026792	7	1	2	1
ENSMUSG00000059201	8	-1	0	7
ENSMUSG00000022724	7	1	2	1
ENSMUSG00000078716	10	1	9	5
ENSMUSG00000054901	5	1	9	5
ENSMUSG00000045648	11	1	2	9
ENSMUSG00000020524	6	-1	9	5
ENSMUSG00000017774	3	-1	0	6
ENSMUSG00000091863	2	1	3	2
ENSMUSG00000065422	2	1	7	2
ENSMUSG00000077457	2	1	11	10
ENSMUSG00000059031	1	1	11	3
ENSMUSG00000032192	5	-1	12	0
ENSMUSG00000031410	11	1	2	9
ENSMUSG00000002910	12	1	2	4
ENSMUSG00000023947	13	-1	0	14
ENSMUSG00000031125	1	1	11	3
ENSMUSG00000039477	3	-1	0	6
ENSMUSG00000022707	5	-1	0	0
ENSMUSG00000047594	1	1	11	3
ENSMUSG00000052364	12	1	2	4
ENSMUSG00000034730	6	1	9	5
ENSMUSG00000031753	3	-1	0	6
ENSMUSG00000036169	7	1	2	1
ENSMUSG00000029865	7	-1	2	13
ENSMUSG00000022706	7	1	2	1
ENSMUSG00000006575	6	1	9	5
ENSMUSG00000025236	5	-1	0	0
ENSMUSG00000061981	0	-1	0	11
ENSMUSG00000065401	2	1	11	10
ENSMUSG00000005089	8	-1	9	5
ENSMUSG00000000889	5	-1	0	0
ENSMUSG00000069917	8	-1	0	7
ENSMUSG00000042345	7	-1	0	0
ENSMUSG00000035642	7	1	2	1
ENSMUSG00000021294	5	1	2	1
ENSMUSG00000026333	12	1	10	4
ENSMUSG00000091468	1	1	11	3
ENSMUSG00000024558	10	-1	9	5
ENSMUSG00000039725	12	1	2	4
ENSMUSG00000085886	1	1	11	3
ENSMUSG00000112707	11	1	11	3
ENSMUSG00000038517	10	-1	2	13
ENSMUSG00000039555	2	1	11	10
ENSMUSG00000037962	1	1	11	3
ENSMUSG00000050973	11	1	2	9
ENSMUSG00000001420	12	1	2	4
ENSMUSG00000018470	10	1	2	1
ENSMUSG00000050217	8	-1	5	7
ENSMUSG00000029716	14	1	8	12
ENSMUSG00000078453	7	-1	2	13
ENSMUSG00000028538	5	-1	2	0
ENSMUSG00000026766	5	-1	0	0
ENSMUSG00000012520	11	1	2	9
ENSMUSG00000101655	11	1	2	9
ENSMUSG00000001155	14	1	8	12
ENSMUSG00000023092	8	-1	0	7
ENSMUSG00000030607	12	1	2	4
ENSMUSG00000025949	9	-1	0	8
ENSMUSG00000024182	0	0	0	11
ENSMUSG00000042750	6	1	9	5
ENSMUSG00000033033	7	1	2	1
ENSMUSG00000047669	11	1	2	9
ENSMUSG00000031168	14	-1	0	0
ENSMUSG00000111564	2	1	11	10
ENSMUSG00000096009	2	1	3	2
ENSMUSG00000045438	7	1	2	1
ENSMUSG00000030002	9	-1	0	8
ENSMUSG00000032594	3	-1	0	6
ENSMUSG00000033214	10	1	9	5
ENSMUSG00000075269	1	1	11	3
ENSMUSG00000097756	1	1	11	3
ENSMUSG00000041642	8	-1	0	7
ENSMUSG00000112880	11	1	10	9
ENSMUSG00000056832	11	1	2	9
ENSMUSG00000031616	12	1	2	4
ENSMUSG00000090291	10	1	2	1
ENSMUSG00000027233	1	1	11	3
ENSMUSG00000106053	1	1	11	3
ENSMUSG00000029408	12	1	2	4
ENSMUSG00000037331	3	-1	0	6
ENSMUSG00000043687	11	1	2	9
ENSMUSG00000033902	5	-1	0	0
ENSMUSG00000041248	14	1	0	0
ENSMUSG00000115236	2	1	3	2
ENSMUSG00000046062	9	-1	0	8
ENSMUSG00000054619	3	-1	0	6
ENSMUSG00000024563	9	-1	0	8
ENSMUSG00000021362	1	1	11	3
ENSMUSG00000054679	11	1	2	9
ENSMUSG00000045678	12	1	10	4
ENSMUSG00000061601	8	-1	9	5
ENSMUSG00000086628	11	1	11	3
ENSMUSG00000027962	13	-1	0	14
ENSMUSG00000022132	14	-1	0	0
ENSMUSG00000103906	11	1	2	9
ENSMUSG00000071424	4	-1	9	5
ENSMUSG00000015968	10	-1	2	13
ENSMUSG00000078625	2	1	11	10
ENSMUSG00000050198	2	1	11	10
ENSMUSG00000075220	2	1	3	2
ENSMUSG00000000171	3	-1	0	6
ENSMUSG00000030785	8	-1	0	7
ENSMUSG00000049823	11	1	2	9
ENSMUSG00000026134	7	1	2	1
ENSMUSG00000075095	2	1	3	2
ENSMUSG00000015247	7	1	2	1
ENSMUSG00000009614	14	-1	8	12
ENSMUSG00000020402	3	-1	0	6
ENSMUSG00000026220	7	1	2	1
ENSMUSG00000002014	5	-1	0	0
ENSMUSG00000061979	12	1	2	4
ENSMUSG00000035235	5	1	2	1
ENSMUSG00000027801	12	1	2	4
ENSMUSG00000001323	14	-1	0	0
ENSMUSG00000084174	8	-1	0	7
ENSMUSG00000085794	7	1	2	1
ENSMUSG00000024780	9	0	0	8
ENSMUSG00000030107	7	1	2	1
ENSMUSG00000046351	4	1	0	0
ENSMUSG00000002984	0	-1	0	11
ENSMUSG00000034659	5	-1	0	0
ENSMUSG00000077092	2	1	7	2
ENSMUSG00000050215	2	1	3	2
ENSMUSG00000092673	2	1	3	2
ENSMUSG00000029772	8	-1	0	7
ENSMUSG00000030619	0	-1	0	11
ENSMUSG00000045854	12	1	2	4
ENSMUSG00000040022	4	-1	9	5
ENSMUSG00000038047	7	1	2	1
ENSMUSG00000068506	2	1	3	2
ENSMUSG00000067767	2	1	11	10
ENSMUSG00000029564	2	1	11	10
ENSMUSG00000055298	8	-1	6	7
ENSMUSG00000046913	2	1	11	10
ENSMUSG00000087115	2	1	11	10
ENSMUSG00000038155	7	-1	2	13
ENSMUSG00000045917	12	1	2	4
ENSMUSG00000040855	6	-1	9	5
ENSMUSG00000009549	3	-1	0	6
ENSMUSG00000027715	5	-1	0	0
ENSMUSG00000047030	0	-1	0	11
ENSMUSG00000026034	9	-1	0	8
ENSMUSG00000090141	1	1	11	3
ENSMUSG00000020419	11	1	2	9
ENSMUSG00000041741	5	-1	0	0
ENSMUSG00000038949	9	-1	0	8
ENSMUSG00000026701	8	-1	0	7
ENSMUSG00000037944	7	1	0	1
ENSMUSG00000030970	5	-1	0	0
ENSMUSG00000059077	12	1	2	4
ENSMUSG00000025270	8	-1	0	7
ENSMUSG00000096351	5	1	12	0
ENSMUSG00000092111	12	1	10	4
ENSMUSG00000087480	11	1	11	3
ENSMUSG00000033149	14	-1	0	0
ENSMUSG00000086219	11	1	2	9
ENSMUSG00000027074	5	-1	0	0
ENSMUSG00000078753	2	1	3	2
ENSMUSG00000068173	1	1	11	3
ENSMUSG00000018740	7	-1	2	13
ENSMUSG00000044317	11	1	2	9
ENSMUSG00000003549	12	1	2	4
ENSMUSG00000022982	3	-1	0	6
ENSMUSG00000028862	7	-1	2	13
ENSMUSG00000066030	12	1	2	4
ENSMUSG00000054459	6	-1	9	5
ENSMUSG00000015947	11	1	2	9
ENSMUSG00000035764	4	-1	9	5
ENSMUSG00000102099	2	1	11	10
ENSMUSG00000027555	7	1	2	1
ENSMUSG00000068246	7	1	2	1
ENSMUSG00000031786	1	1	2	1
ENSMUSG00000091155	1	1	11	3
ENSMUSG00000047544	2	1	3	2
ENSMUSG00000070780	5	-1	0	0
ENSMUSG00000046300	2	1	11	10
ENSMUSG00000021376	14	-1	0	0
ENSMUSG00000099968	2	1	11	10
ENSMUSG00000020974	12	1	2	4
ENSMUSG00000068742	6	-1	9	5
ENSMUSG00000051051	1	1	11	3
ENSMUSG00000027306	5	-1	2	0
ENSMUSG00000065508	2	1	7	2
ENSMUSG00000000167	1	1	11	3
ENSMUSG00000078619	9	-1	0	8
ENSMUSG00000112937	1	1	11	3
ENSMUSG00000002603	13	-1	0	14
ENSMUSG00000030111	5	-1	2	0
ENSMUSG00000032988	11	1	2	9
ENSMUSG00000000567	5	-1	2	0
ENSMUSG00000020299	2	1	11	10
ENSMUSG00000086823	1	1	11	3
ENSMUSG00000032511	5	-1	0	0
ENSMUSG00000024427	7	1	2	1
ENSMUSG00000011148	5	-1	0	0
ENSMUSG00000033027	2	1	11	10
ENSMUSG00000029136	11	1	11	3
ENSMUSG00000073907	1	1	11	3
ENSMUSG00000002820	0	-1	2	11
ENSMUSG00000044167	13	-1	0	14
ENSMUSG00000041750	1	1	11	3
ENSMUSG00000116848	2	1	11	10
ENSMUSG00000042498	11	1	2	9
ENSMUSG00000028718	12	1	2	4
ENSMUSG00000035547	5	-1	0	0
ENSMUSG00000062873	2	1	3	2
ENSMUSG00000021482	5	-1	0	0
ENSMUSG00000030805	0	-1	0	11
ENSMUSG00000037994	12	1	10	4
ENSMUSG00000037788	5	-1	12	0
ENSMUSG00000047720	2	1	3	2
ENSMUSG00000050334	4	1	9	5
ENSMUSG00000096697	2	1	3	2
ENSMUSG00000031628	5	-1	0	0
ENSMUSG00000090219	11	1	10	9
ENSMUSG00000077191	2	1	7	2
ENSMUSG00000078672	8	-1	8	7
ENSMUSG00000045968	11	1	11	3
ENSMUSG00000033767	13	-1	0	14
ENSMUSG00000039199	7	-1	2	13
ENSMUSG00000104401	2	1	11	10
ENSMUSG00000070943	2	1	3	2
ENSMUSG00000020654	5	-1	0	0
ENSMUSG00000021693	9	-1	0	8
ENSMUSG00000048772	12	1	2	4
ENSMUSG00000072704	4	-1	9	5
ENSMUSG00000049421	9	-1	0	8
ENSMUSG00000032396	7	-1	2	13
ENSMUSG00000022346	13	-1	0	14
ENSMUSG00000095312	2	1	3	2
ENSMUSG00000062960	3	-1	0	6
ENSMUSG00000021381	2	1	11	10
ENSMUSG00000022155	1	1	11	3
ENSMUSG00000058407	9	-1	0	8
ENSMUSG00000025077	7	1	2	1
ENSMUSG00000044243	2	1	11	10
ENSMUSG00000026626	3	-1	0	6
ENSMUSG00000051497	14	-1	0	0
ENSMUSG00000052384	13	1	0	14
ENSMUSG00000057110	13	-1	0	14
ENSMUSG00000025920	4	-1	9	5
ENSMUSG00000036091	1	1	11	3
ENSMUSG00000038583	8	-1	0	7
ENSMUSG00000033106	7	1	2	1
ENSMUSG00000019877	8	-1	9	5
ENSMUSG00000058028	2	1	11	10
ENSMUSG00000055820	2	1	11	10
ENSMUSG00000074259	7	-1	2	13
ENSMUSG00000029201	3	-1	0	6
ENSMUSG00000021572	12	1	2	4
ENSMUSG00000021070	12	1	2	4
ENSMUSG00000110253	2	1	3	2
ENSMUSG00000073002	7	-1	2	13
ENSMUSG00000050677	1	1	11	3
ENSMUSG00000033436	4	-1	9	5
ENSMUSG00000031982	11	1	2	9
ENSMUSG00000115609	2	1	11	10
ENSMUSG00000021728	9	-1	0	8
ENSMUSG00000040856	5	-1	0	0
ENSMUSG00000064899	12	1	2	4
ENSMUSG00000108827	7	1	10	1
ENSMUSG00000060030	2	1	3	2
ENSMUSG00000032033	12	1	14	4
ENSMUSG00000006998	3	-1	0	6
ENSMUSG00000029463	10	1	2	1
ENSMUSG00000043831	12	1	2	4
ENSMUSG00000021241	7	-1	2	13
ENSMUSG00000039518	5	-1	14	0
ENSMUSG00000055811	2	1	3	2
ENSMUSG00000060044	12	1	2	4
ENSMUSG00000005882	3	-1	0	6
