flt_cluster	gc_cluster	gene_count	fraction_of_flt_cluster	fraction_of_gc_cluster	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	mean_meta_log2fc_eligible	mean_abs_meta_log2fc_sig	top_shift_genes	top_significant_genes	primary_gc_for_flt	primary_flt_for_gc	is_primary_flt_to_gc	is_primary_gc_to_flt	edge_role
4	2	97	0.05991352686843731	0.046102661596958174	1.904513966026037	1.9171683283198049	2.4495353301804528	97	0	-0.06986845566385062	NA	Mex3d,Cdc25b,Ccdc166,Ripply3,Trpv2,Entpd2,Fam117a,Mks1,Dusp4,Cyp1a1,Ccdc85b,Chst14		10	7	False	False	secondary
4	14	4	0.0024706609017912293	0.047619047619047616	1.645374967618477	1.6741254166822968	1.79334811679539	4	0	-0.05293919004621163	NA	Homer3,Tspan17,Frs3,Ptch2		10	6	False	False	secondary
5	11	740	0.517120894479385	0.8851674641148325	1.3585637833831328	1.249724219516532	1.8634902578959107	740	0	0.0613058738488983	NA	Rps16,Rps21,Kank2,Tpmt,Rpl37,Angptl4,Aacs,Vegfa,Svil,Rps19,Rpl34,Pkd1		11	5	True	True	reciprocal_primary
5	3	447	0.31236897274633124	0.2727272727272727	1.341039128756464	1.2360587692519658	1.837326259782569	447	0	0.059441256491093795	NA	Tpm1,Shfl,Snrnp70,Depp1,Celsr1,Amotl1,2610005L07Rik,Slc25a30,Ncor2,Polr2l,Coa3,Smim20		11	8	False	False	secondary
5	9	104	0.0726764500349406	0.09075043630017451	1.52280947797016	1.376436535579369	2.0699657686607	104	0	0.024380963280034175	NA	Rps15a,Atp5mpl,Rps20,Ahnak,Txndc17,Leap2,Fdps,S100a10,Hsbp1,Ndufa1,Echdc2,Kdr		11	10	False	False	secondary
5	12	79	0.05520614954577219	0.127831715210356	1.069483484838471	1.0313127213864688	1.3872805952671432	79	0	0.07832876075053155	NA	Gstp1,Serf2,Gpd1,Reep6,Mgll,Myl6,Clpx,Tle5,Hyou1,Pcyt2,Slc25a39,Cyp8b1		11	11	False	False	secondary
5	5	50	0.03494060097833683	0.03695491500369549	1.5255243728069465	1.4294154027180737	1.9952105959407849	50	0	0.029095528104869418	NA	Aqp11,Pfdn1,Supt4a,Mrpl20,Mrpl42,Plin3,Umps,Prelid3b,Mrpl51,Mafg,Thnsl2,Tmem147		11	1	False	False	secondary
5	8	11	0.007686932215234102	0.00937766410912191	1.9119053633123642	1.735892053254872	2.8839803099951515	11	0	-0.009851544779960364	NA	Eps8l2,Osgin1,Use1,Syvn1,H2-T22,Nlrp12,Ttc39c,C8b,H1f2,B4galt5,Crcp		11	2	False	False	secondary
6	2	772	0.5428973277074542	0.3669201520912547	2.3111498460389526	2.179164766883956	3.288421026563694	772	1	-0.010478412381363532	1.05546561291316	Atp1a2,Synpo2,Hk2,Tmem38a,Snhg20,Lynx1,Sptb,Myl9,Slpi,Gm5512,Rtn2,Gadd45b	Adcy1	2	7	True	False	flt_primary_only
6	6	327	0.229957805907173	0.24330357142857142	2.498403789946173	2.382055574538797	3.259164026066453	327	0	-0.006498145348512536	NA	Carmn,4933411K16Rik,Cyp2g1,Lmnb1,Eci3,Slc22a29,Gbp2b,Slc1a4,Phf13,S100a9,Prom1,Cav1		2	12	False	False	secondary
6	7	187	0.13150492264416316	0.13955223880597015	2.321250114490376	2.1207325491359112	3.5813076359091762	187	0	0.026198668874153903	NA	Ankrd23,Speg,Limch1,Zfp651,Cap2,Olfr1328,Unc45b,Cd1d2,Moap1,Tmod4,Cabcoco1,Eln		2	4	False	False	secondary
6	14	72	0.05063291139240506	0.8571428571428571	1.8984460160969876	1.7358279680801458	2.659353476993788	72	0	0.03302541752100843	NA	H2bc8,H3c7,Slc39a5,H2ac20,Lrfn4,H3c6,Nfkbil1,Sema6b,Fndc10,Bcam,Ssbp4,Fam171a2		2	6	False	True	gc_primary_only
6	8	61	0.04289732770745429	0.05200341005967604	2.6869606852524233	2.5287193531801337	3.899041186339259	61	0	-0.0052600490132151045	NA	Vaultrc5,Med31,A730063M14Rik,Prss23,Gngt2,Arhgap10,Acot11,Cd52,Il1rn,Pirb,Thbd,Spata22		2	2	False	False	secondary
6	13	3	0.002109704641350211	0.02727272727272727	2.195524139806784	1.7800219212529953	2.8266150881004792	3	0	0.0320756365150371	NA	Hnf4aos,B430010I23Rik,Fam187b		2	9	False	False	secondary
7	2	794	0.7448405253283302	0.3773764258555133	1.5269330256584506	1.4283288800491047	2.322384402500508	794	0	-0.07929764504143992	NA	Snca,Gzma,Dyrk3,Lrrc39,Racgap1,Kif4,Ccna2,Tpx2,Sorbs2os,Unc79,Wdr93,Tacc3		2	7	True	True	reciprocal_primary
