gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000035713	9	1	5	6
ENSMUSG00000059995	6	0	16	8
ENSMUSG00000033831	17	0	15	11
ENSMUSG00000029730	11	0	16	2
ENSMUSG00000019841	14	0	21	1
ENSMUSG00000040543	4	0	4	3
ENSMUSG00000091537	0	0	21	14
ENSMUSG00000026420	2	0	3	0
ENSMUSG00000027550	12	1	2	6
ENSMUSG00000073971	4	0	20	3
ENSMUSG00000028607	1	0	8	5
ENSMUSG00000039210	5	0	7	1
ENSMUSG00000032231	6	0	16	8
ENSMUSG00000078593	2	0	3	0
ENSMUSG00000028165	14	0	21	1
ENSMUSG00000075273	19	0	2	2
ENSMUSG00000049618	2	0	3	0
ENSMUSG00000002496	13	0	11	5
ENSMUSG00000055692	10	0	10	4
ENSMUSG00000031160	2	0	3	0
ENSMUSG00000030983	1	0	21	5
ENSMUSG00000078640	2	0	3	0
ENSMUSG00000046675	19	0	2	2
ENSMUSG00000051811	4	0	4	3
ENSMUSG00000028651	11	0	16	2
ENSMUSG00000024425	17	0	14	11
ENSMUSG00000046613	4	0	20	3
ENSMUSG00000070501	16	0	22	7
ENSMUSG00000049612	16	0	22	7
ENSMUSG00000091996	10	0	23	4
ENSMUSG00000078038	2	0	3	0
ENSMUSG00000042216	15	1	5	6
ENSMUSG00000069036	2	0	3	0
ENSMUSG00000079407	4	0	20	3
ENSMUSG00000021823	13	0	7	5
ENSMUSG00000033808	19	0	6	2
ENSMUSG00000051098	19	0	2	2
ENSMUSG00000061633	2	0	3	0
ENSMUSG00000056870	9	1	22	6
ENSMUSG00000030093	2	0	3	0
ENSMUSG00000000194	5	0	7	1
ENSMUSG00000043207	7	0	21	10
ENSMUSG00000005667	9	1	10	13
ENSMUSG00000073830	0	0	1	14
ENSMUSG00000039703	1	0	11	5
ENSMUSG00000031068	7	0	21	10
ENSMUSG00000051154	14	0	21	1
ENSMUSG00000025487	13	0	11	5
ENSMUSG00000005354	1	0	8	5
ENSMUSG00000025892	10	0	10	4
ENSMUSG00000074071	5	0	7	1
ENSMUSG00000057182	16	1	22	7
ENSMUSG00000020390	7	0	21	10
ENSMUSG00000031131	2	0	3	0
ENSMUSG00000094612	2	0	3	0
ENSMUSG00000031283	9	1	10	13
ENSMUSG00000109219	2	0	3	0
ENSMUSG00000038429	13	0	11	5
ENSMUSG00000034810	9	1	10	13
ENSMUSG00000018733	19	0	6	2
ENSMUSG00000022037	17	0	15	11
ENSMUSG00000085260	2	0	3	0
ENSMUSG00000029610	3	0	18	12
ENSMUSG00000042185	11	0	6	2
ENSMUSG00000067525	2	0	3	0
ENSMUSG00000006021	3	0	18	12
ENSMUSG00000046408	10	1	10	13
ENSMUSG00000020599	16	0	22	7
ENSMUSG00000030775	16	0	22	7
ENSMUSG00000015149	13	0	11	5
ENSMUSG00000046434	14	0	21	1
ENSMUSG00000031377	10	0	10	4
ENSMUSG00000031774	5	0	16	8
ENSMUSG00000096840	2	0	3	0
ENSMUSG00000050627	14	0	21	1
ENSMUSG00000031878	5	0	7	1
ENSMUSG00000030322	18	0	1	9
ENSMUSG00000029541	2	0	3	0
ENSMUSG00000020696	5	0	7	1
ENSMUSG00000097162	19	0	2	2
ENSMUSG00000113189	10	0	23	4
ENSMUSG00000045201	2	0	3	0
ENSMUSG00000058513	4	0	24	3
ENSMUSG00000059479	15	1	5	6
ENSMUSG00000077239	4	0	20	3
ENSMUSG00000031755	15	1	5	6
ENSMUSG00000076253	2	0	3	0
ENSMUSG00000038379	16	0	22	7
ENSMUSG00000002109	19	1	2	2
ENSMUSG00000041840	19	0	2	2
ENSMUSG00000049691	2	0	3	0
ENSMUSG00000021555	5	0	7	1
ENSMUSG00000022814	13	0	11	5
ENSMUSG00000028782	4	0	4	3
ENSMUSG00000095028	10	1	23	4
ENSMUSG00000057223	2	0	3	0
ENSMUSG00000034413	16	0	22	7
ENSMUSG00000087579	0	0	0	14
ENSMUSG00000025127	1	0	8	5
ENSMUSG00000030222	18	1	1	9
ENSMUSG00000040133	4	0	20	3
ENSMUSG00000027845	19	0	2	2
ENSMUSG00000028003	14	0	21	1
ENSMUSG00000030054	10	0	10	4
ENSMUSG00000093980	2	0	3	0
ENSMUSG00000034227	4	0	4	3
ENSMUSG00000003435	13	0	11	5
ENSMUSG00000049280	18	1	1	9
ENSMUSG00000022309	18	1	1	9
ENSMUSG00000093460	10	0	23	4
ENSMUSG00000075064	2	0	3	0
ENSMUSG00000029684	7	0	0	10
ENSMUSG00000027531	14	0	21	1
ENSMUSG00000091541	10	0	10	4
ENSMUSG00000031565	18	1	1	9
ENSMUSG00000101078	2	0	3	0
ENSMUSG00000070047	1	0	8	5
ENSMUSG00000030057	17	0	14	11
ENSMUSG00000050121	10	0	23	4
ENSMUSG00000024353	10	0	10	4
ENSMUSG00000060002	17	0	14	11
ENSMUSG00000054406	2	0	3	0
ENSMUSG00000065569	2	0	3	0
ENSMUSG00000034471	3	0	18	12
ENSMUSG00000028246	4	0	24	3
ENSMUSG00000092815	2	0	3	0
ENSMUSG00000022749	5	0	7	1
ENSMUSG00000029919	16	0	22	7
ENSMUSG00000000739	18	1	1	9
ENSMUSG00000037020	15	1	5	6
ENSMUSG00000035933	14	0	21	1
ENSMUSG00000116611	4	0	20	3
ENSMUSG00000059639	2	0	3	0
ENSMUSG00000028359	19	0	2	2
ENSMUSG00000021464	4	0	4	3
ENSMUSG00000044338	8	0	4	15
ENSMUSG00000002633	10	0	23	4
ENSMUSG00000069722	2	0	3	0
ENSMUSG00000067713	5	0	16	8
ENSMUSG00000021591	13	0	11	5
ENSMUSG00000069184	19	1	2	2
ENSMUSG00000027171	10	0	23	4
ENSMUSG00000031539	12	1	5	6
ENSMUSG00000075145	2	0	3	0
ENSMUSG00000022221	9	1	5	6
ENSMUSG00000063386	10	0	23	4
ENSMUSG00000056782	12	1	1	6
ENSMUSG00000025410	1	0	11	5
ENSMUSG00000027332	1	0	8	5
ENSMUSG00000025268	3	0	18	12
ENSMUSG00000026519	6	0	16	8
ENSMUSG00000043323	6	0	18	8
ENSMUSG00000060803	1	0	8	5
ENSMUSG00000026117	6	0	16	8
ENSMUSG00000073906	2	0	3	0
ENSMUSG00000098912	18	1	1	9
ENSMUSG00000062175	10	0	10	4
ENSMUSG00000028035	14	0	21	1
ENSMUSG00000039656	6	0	16	8
ENSMUSG00000024955	6	0	16	8
ENSMUSG00000018921	3	0	18	12
ENSMUSG00000047751	2	0	3	0
ENSMUSG00000032257	2	0	3	0
ENSMUSG00000015342	19	0	2	2
ENSMUSG00000059623	8	1	10	13
ENSMUSG00000047904	8	1	10	13
ENSMUSG00000001348	13	0	11	5
ENSMUSG00000027965	19	0	2	2
ENSMUSG00000031891	4	0	4	3
ENSMUSG00000069089	11	0	6	2
ENSMUSG00000027186	12	1	5	6
ENSMUSG00000030934	17	0	14	11
ENSMUSG00000040037	4	0	24	3
ENSMUSG00000055720	5	0	16	8
ENSMUSG00000060688	2	0	3	0
ENSMUSG00000050213	11	0	6	2
ENSMUSG00000054423	10	0	23	4
ENSMUSG00000053914	2	0	3	0
ENSMUSG00000017211	4	0	24	3
ENSMUSG00000097520	10	0	10	4
ENSMUSG00000019944	7	0	0	10
ENSMUSG00000034893	5	0	7	1
ENSMUSG00000034269	7	0	21	10
ENSMUSG00000044339	9	1	5	6
ENSMUSG00000027575	6	0	16	8
ENSMUSG00000085162	10	0	23	4
ENSMUSG00000040247	9	1	5	6
ENSMUSG00000090862	0	0	8	14
ENSMUSG00000023106	14	0	21	1
ENSMUSG00000075201	2	0	3	0
ENSMUSG00000054598	16	0	22	7
ENSMUSG00000006276	5	0	7	1
ENSMUSG00000038199	2	0	3	0
ENSMUSG00000060187	2	0	3	0
ENSMUSG00000047502	4	0	4	3
ENSMUSG00000059689	11	0	6	2
ENSMUSG00000036737	14	0	21	1
ENSMUSG00000033379	13	0	11	5
ENSMUSG00000040749	16	0	22	7
ENSMUSG00000096714	4	0	24	3
ENSMUSG00000112223	2	0	3	0
ENSMUSG00000039936	15	1	5	6
ENSMUSG00000062433	2	0	3	0
ENSMUSG00000060450	7	0	21	10
ENSMUSG00000091204	2	0	3	0
ENSMUSG00000075113	10	0	23	4
ENSMUSG00000027530	10	0	10	4
ENSMUSG00000041135	19	0	2	2
ENSMUSG00000018340	1	0	8	5
ENSMUSG00000017299	6	0	18	8
ENSMUSG00000057230	14	0	7	1
ENSMUSG00000056901	2	0	3	0
