term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-606279_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.0062247452173327	0.1882136170619783	0.0062247452173327	0.006838379362080617	0.00538499683500995	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5693567_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_OR_SINGLE_STRAND_ANNEALING_SSA	-0.0216376302820422	0.190745603580439	0.0216376302820422	0.02716453370898805	0.011766569298516785	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	0.0129099301825528	0.190831679004898	0.0129099301825528	0.014871629919831599	0.004834650864276066	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-177929_SIGNALING_BY_EGFR	0.0542523023798239	0.190831679004898	0.0542523023798239	0.07063226946219738	0.05088426952886408	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	-0.0745248380604048	0.1921981563453889	0.0745248380604048	0.10165780202037251	0.0583101470910796	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-913531_INTERFERON_SIGNALING	0.1322234022675179	0.1929768506068947	0.1322234022675179	0.14173133930559767	0.12831890263893111	0.03824113312427363	prior_literature_match	prior literature match	interferon	matches expected tissue/spaceflight biology: interferon
R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	-0.1950967827803908	0.1972646803175277	0.1950967827803908	0.2144901515416259	0.16373979752950465	0.03824113312427363	prior_literature_match	prior literature match	adaptive immune	matches expected tissue/spaceflight biology: adaptive immune
R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	-0.0017652163040897	0.199869986174819	0.0017652163040897	0.0031492584205216837	0.0017829470727439166	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9937850_NURD_COMPLEX_ASSEMBLY	-0.0044869809776232	0.2044350390085351	0.0044869809776232	0.0049977645225658335	0.0022519489802830333	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	-0.0417558217394365	0.2096331569086002	0.0417558217394365	0.07647176919878608	0.007364937395755816	0.03824113312427363	prior_literature_match	prior literature match	dna double strand	matches expected tissue/spaceflight biology: dna double strand
R-MMU-5693607_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	-0.0051201048036598	0.2098208540788435	0.0051201048036598	0.0077198695980971	0.0034460011088042	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-390522_STRIATED_MUSCLE_CONTRACTION	0.266651955176056	0.2098208540788435	0.266651955176056	0.5391847912555375	0.29670093458887087	0.03824113312427363	likely_artifact	likely artifact/junk	exact override	literature override: off-context striated muscle pathway in skin
R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.0525495151079224	0.2098208540788435	0.0525495151079224	0.07004255644614116	0.019539580311461035	0.03824113312427363	prior_literature_match	prior literature match	collagen	matches expected tissue/spaceflight biology: collagen
R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	0.0269080179471834	0.2098208540788435	0.0269080179471834	0.05105718463968628	0.003247307205342952	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-199977_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	-0.0039386826595316	0.2139584696079513	0.0039386826595316	0.006509729686123116	0.006509729686123116	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	0.0620396380478873	0.2155643761982991	0.0620396380478873	0.1275012147364256	0.10564843740309231	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-72766_TRANSLATION	0.0186610141844365	0.2320198432649874	0.0186610141844365	0.028597586377029898	0.021081997833696572	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	-0.0802208306690124	0.2320198432649874	0.0802208306690124	0.10113506952463168	0.0643134513428139	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
