term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-373755_SEMAPHORIN_INTERACTIONS	0.0453922478688015	0.0970567148933287	0.0453922478688015	0.049512897184644356	0.031058555517977714	0.014249067531992898	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac
R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	0.0573799752243138	0.0970567148933287	0.0573799752243138	0.07608363605774476	0.07608363605774476	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-372790_SIGNALING_BY_GPCR	0.0892868126593671	0.0997883534730592	0.0892868126593671	0.12726491101785609	0.06998951855753859	0.014249067531992898	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr
R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	0.0845402611022199	0.1046232144299301	0.0845402611022199	0.13225279213779567	0.09321071653462115	0.014249067531992898	plausible_complementary	plausible/complementary	akt	plausible complementary mechanism: akt
R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-0.0020439023749909	0.1046232144299301	0.0020439023749909	0.0029805472747019665	0.00174263414771785	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-168176_TOLL_LIKE_RECEPTOR_5_TLR5_CASCADE	0.002040016589105	0.1089925111930793	0.002040016589105	0.004467386903028126	0.003500614844506575	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.0003640021203198	0.1106159540438177	0.0003640021203198	0.00075828335886395	8.111763217201667e-05	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-500792_GPCR_LIGAND_BINDING	0.0480564801712162	0.1208709850913811	0.0480564801712162	0.06014246651764935	0.039679801358919235	0.014249067531992898	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr
R-MMU-69481_G2_M_CHECKPOINTS	-0.0018762195960152	0.1216634793902005	0.0018762195960152	0.004264247915345539	0.00335910816979002	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	-0.0112598990263658	0.1216634793902005	0.0112598990263658	0.011265319238151375	0.00662917601473871	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
