gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137	RR-3	RR3_FLT_F5	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		89.02246
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137	RR-3	RR3_FLT_F6	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		124.94666
0	1781	Mmus_BAL-TAL_LVR_GC_Rep1_G1	OSD-137	RR-3	RR3_GC_G1	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		88.274
0	1781	Mmus_BAL-TAL_LVR_GC_Rep2_G2	OSD-137	RR-3	RR3_GC_G2	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		104.95957
0	1781	Mmus_BAL-TAL_LVR_GC_Rep3_G3	OSD-137	RR-3	RR3_GC_G3	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		103.37788
0	1781	Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137	RR-3	RR3_GC_G5	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		107.07075
0	1781	Mmus_BAL-TAL_LVR_GC_Rep5_G6	OSD-137	RR-3	RR3_GC_G6	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		133.30713
0	1781	Mmus_BAL-TAL_LVR_GC_Rep6_G7	OSD-137	RR-3	RR3_GC_G7	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		98.9343
0	1781	Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	RR-1	RR-1_FLT_M1	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		57.494106
0	1781	Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	RR-1	RR-1_FLT_M2	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		44.531723
0	1781	Mmus_C57-6T_LVR_FLT_Rep3_F3	OSD-164	RR-1	FLT 3	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver	Liver	40.362717
0	1781	Mmus_C57-6T_LVR_GC_Rep1_G1	OSD-164	RR-1	GC 1	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver	Liver	44.74284
0	1781	Mmus_C57-6T_LVR_GC_Rep2_G2	OSD-164	RR-1	GC 2	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver	Liver	41.816395
0	1781	Mmus_C57-6T_LVR_GC_Rep3_G3	OSD-164	RR-1	GC 3	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver	Liver	44.274002
0	1781	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2	OSD-168	RR-1, RR-3	RR3_BSL_B2	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		118.41662
0	1781	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4	OSD-168	RR-1, RR-3	RR3_BSL_B4	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		160.29814
0	1781	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6	OSD-168	RR-1, RR-3	RR3_BSL_B6	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		155.98764
