gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000087424	-3.3642514	2.0475907	0.116948284	1
ENSMUSG00000050328	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000022705	-6.9849405	-0.7645369	0.11097284	1
ENSMUSG00000034543	7.1092477	-5.2506537	-0.003218033	0
ENSMUSG00000094734	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000071753	-5.289947	1.0489761	0.51837707	1
ENSMUSG00000020919	6.5641794	8.499752	-0.6495548	2
ENSMUSG00000036214	3.9295595	-4.0396667	-0.16601104	0
ENSMUSG00000079069	-7.0583973	-0.655091	0.011704829	1
ENSMUSG00000103116	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000097368	-2.4747057	-1.3536783	-0.8111374	1
ENSMUSG00000039230	7.7614307	-5.556694	0.07958674	0
ENSMUSG00000035713	-3.688571	-1.9303186	0.16098133	1
ENSMUSG00000059995	6.6385927	-5.3899183	0.25292176	0
ENSMUSG00000033831	22.590752	21.113708	0.63481563	2
ENSMUSG00000029730	3.9897513	-4.8779216	0.6486672	0
ENSMUSG00000019841	10.040686	-5.5681224	-0.6474699	3
ENSMUSG00000040543	-6.1190157	-0.6310923	-0.25781706	1
ENSMUSG00000091537	9.794729	-4.5954533	-1.5579041	3
ENSMUSG00000026420	-7.05099	-0.6720509	0.02476469	1
ENSMUSG00000027550	1.556031	-3.2049484	-0.24347565	0
ENSMUSG00000073971	-6.883644	-0.6519215	-0.060028322	1
ENSMUSG00000028607	13.9127	-7.786638	0.35597238	3
ENSMUSG00000039210	3.386129	6.886737	0.08500987	2
ENSMUSG00000032231	3.7452292	6.010298	-1.029204	2
ENSMUSG00000078593	-7.0566754	-0.66409534	0.015959721	1
ENSMUSG00000028165	6.3945017	9.097641	0.094921365	2
ENSMUSG00000075273	3.1152272	-3.7439075	-0.23802456	0
ENSMUSG00000049618	-7.032734	-0.57220995	0.09815101	1
ENSMUSG00000002496	10.496927	-6.4320917	0.04436247	3
ENSMUSG00000055692	-5.7252045	-1.0338471	-0.034751303	1
ENSMUSG00000031160	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000030983	11.929839	-6.763434	-0.069115	3
ENSMUSG00000078640	-6.7462406	-0.577179	-0.16938807	1
ENSMUSG00000046675	0.42667332	4.697844	-0.07232331	2
ENSMUSG00000051811	-6.6653857	-0.3765979	0.016747762	1
ENSMUSG00000028651	1.5356147	5.10904	-0.19529228	2
ENSMUSG00000024425	17.494009	-8.698916	0.05817318	3
ENSMUSG00000046613	-6.907131	-0.46893996	0.10724328	1
ENSMUSG00000070501	-4.6720266	-1.1487659	-0.26189458	1
ENSMUSG00000049612	-5.255688	0.46390754	-0.28685695	1
ENSMUSG00000091996	-5.69671	0.39361593	0.0893271	1
ENSMUSG00000078038	-7.0439286	-0.681925	0.034565162	1
ENSMUSG00000042216	-1.3200712	2.9881272	-0.42842954	1
ENSMUSG00000069036	-7.0041356	-0.54332405	0.10763641	1
ENSMUSG00000079407	-6.9472365	-0.5620425	0.010242466	1
ENSMUSG00000021823	5.158265	7.876898	-0.21523005	2
ENSMUSG00000033808	3.7609115	6.684352	-0.5605123	2
ENSMUSG00000051098	1.0737385	5.268841	0.116084374	2
ENSMUSG00000061633	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000056870	-3.6406696	2.0863223	0.35391837	1
ENSMUSG00000030093	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000000194	8.009521	-5.7277927	0.15755434	0
ENSMUSG00000043207	11.533818	-6.847146	0.14341858	3
ENSMUSG00000005667	-3.8278024	-1.4573479	-0.2502312	1
ENSMUSG00000073830	8.215183	16.216478	7.7045016	2
ENSMUSG00000039703	11.687887	-6.763849	0.008189369	3
ENSMUSG00000031068	13.060003	-6.6340537	-0.5476792	3
ENSMUSG00000051154	8.3067	9.871123	-0.5782321	2
ENSMUSG00000025487	10.846147	-6.8551784	0.38000983	3
ENSMUSG00000005354	13.698594	-7.341051	-0.07321599	3
ENSMUSG00000025892	-5.035182	-1.3498646	0.06899299	1
ENSMUSG00000074071	4.590577	7.4991603	-0.13044696	2
ENSMUSG00000057182	-4.771723	0.96798044	-0.0458952	1
ENSMUSG00000020390	8.7949705	10.851662	0.1612191	2
ENSMUSG00000031131	-7.0201	-0.5331928	0.13458706	1
ENSMUSG00000094612	-7.048747	-0.6257962	0.04023422	1
ENSMUSG00000031283	-3.8312013	-1.0930902	-0.60307145	1
ENSMUSG00000109219	-7.042522	-0.683895	0.036702838	1
ENSMUSG00000038429	10.931134	-6.9780884	0.47007424	3
ENSMUSG00000034810	-3.1791525	-1.1201708	-0.77586067	1
ENSMUSG00000018733	4.3005414	-4.0057597	-0.3545463	0
ENSMUSG00000022037	22.812515	-11.195947	0.85908544	3
ENSMUSG00000085260	-7.046218	-0.65536916	0.00077888556	1
ENSMUSG00000029610	2.0730374	-4.1316986	0.50236195	0
ENSMUSG00000042185	2.4724855	6.1508775	0.009300181	2
ENSMUSG00000067525	-6.6510105	-0.59319603	-0.18477562	1
ENSMUSG00000006021	4.296091	-4.8721066	0.5292996	0
ENSMUSG00000046408	-5.4538765	0.44462973	-0.020254433	1
ENSMUSG00000020599	-4.6918902	0.8417091	-0.2537634	1
ENSMUSG00000030775	-3.873979	1.4376194	-0.30936357	1
ENSMUSG00000015149	8.549654	-5.766894	0.013662353	0
ENSMUSG00000046434	7.4011655	10.095475	0.46579188	2
ENSMUSG00000031377	-5.2528076	-0.041053884	-0.06043904	1
ENSMUSG00000031774	5.7643414	-4.8045473	-0.02125827	0
ENSMUSG00000096840	-7.0596547	-0.65992814	0.011154	1
ENSMUSG00000050627	10.720632	-6.6322575	0.209633	3
ENSMUSG00000031878	4.8763723	8.036583	0.18508519	2
ENSMUSG00000030322	-2.8323288	2.761598	0.4618281	1
ENSMUSG00000029541	-7.0506706	-0.6724709	0.021698277	1
ENSMUSG00000020696	4.4403563	7.5192013	-0.0074580014	2
ENSMUSG00000097162	2.0945685	-3.085309	-0.5539999	0
ENSMUSG00000113189	-5.210253	-1.3447216	0.10146843	1
ENSMUSG00000045201	-6.919859	-0.54567236	0.026992526	1
ENSMUSG00000058513	-6.4663	-0.7966159	-0.042239647	1
ENSMUSG00000059479	-0.45899385	-2.7994	-0.034248143	0
ENSMUSG00000077239	-6.7597337	-0.89344156	0.16548842	1
ENSMUSG00000031755	-1.9134783	3.0564134	0.08714665	1
ENSMUSG00000076253	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000038379	-5.159756	-1.1836267	-0.078292	1
ENSMUSG00000002109	-1.0205133	3.6739526	0.02483099	1
ENSMUSG00000041840	0.62562966	4.9927144	0.120085835	2
ENSMUSG00000049691	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000021555	8.003019	-5.6665173	0.12275648	0
ENSMUSG00000022814	9.910196	-6.140943	-0.046883564	3
ENSMUSG00000028782	-6.5609856	-0.84668636	0.03409613	1
ENSMUSG00000095028	-5.6293	0.42547137	0.042158294	1
ENSMUSG00000057223	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000034413	-3.1517687	-2.0895994	0.16579789	1
ENSMUSG00000087579	8.857748	9.558594	-1.410508	2
ENSMUSG00000025127	14.7000065	-8.061307	0.3251359	3
ENSMUSG00000030222	-2.2184198	3.435601	0.7290551	1
ENSMUSG00000040133	-6.5803246	-0.4289856	-0.16138995	1
ENSMUSG00000027845	2.207438	-3.1619048	-0.526974	0
ENSMUSG00000028003	11.4807	-5.495663	-1.1888437	3
ENSMUSG00000030054	-5.948428	-0.3731836	0.19684066	1
ENSMUSG00000093980	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000034227	-5.844587	-1.2592443	0.34663984	1
ENSMUSG00000003435	6.05849	8.776497	0.15189362	2
ENSMUSG00000049280	-2.4454558	-1.5079262	-0.685015	1
ENSMUSG00000022309	-0.34693816	-2.3750982	-0.45576635	0
ENSMUSG00000093460	-6.3403177	-0.9977827	0.12733637	1
ENSMUSG00000075064	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000029684	11.897027	-6.855399	0.053942718	3
ENSMUSG00000027531	7.3752446	9.14983	-0.49581346	2
ENSMUSG00000091541	-5.5765505	-1.1613005	0.026154345	1
ENSMUSG00000031565	-1.5435566	3.7957137	0.65800446	1
ENSMUSG00000101078	-7.053701	-0.66825116	0.019855823	1
ENSMUSG00000070047	12.679595	-7.421962	0.34239122	3
ENSMUSG00000030057	17.80394	-8.644275	-0.07265094	3
ENSMUSG00000050121	-6.3619685	-0.81879944	-0.052818026	1
ENSMUSG00000024353	-5.0229607	-0.57751787	-0.35594076	1
ENSMUSG00000060002	16.009224	-7.201851	-0.9731073	3
ENSMUSG00000054406	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000065569	-7.037763	-0.6905657	0.04220476	1
ENSMUSG00000034471	4.0736685	-5.403405	1.1528804	0
ENSMUSG00000028246	-6.4773273	-0.79543144	-0.03511781	1
ENSMUSG00000092815	-7.0596957	-0.6598669	0.011123527	1
ENSMUSG00000022749	7.9367146	-6.1168766	0.58440787	0
ENSMUSG00000029919	-3.8588	1.8115782	0.1911222	1
ENSMUSG00000000739	-0.5227731	-1.8674282	-0.95799255	1
ENSMUSG00000037020	-0.9589369	-3.2605586	0.6201046	0
ENSMUSG00000035933	8.713626	-5.0802855	-0.6929437	0
ENSMUSG00000116611	-6.985081	-0.47807762	0.17395522	1
ENSMUSG00000059639	-7.0156755	-0.60542274	0.033319216	1
ENSMUSG00000028359	2.3140645	5.17526	-1.0502304	2
ENSMUSG00000021464	-6.9036226	-0.6149786	-0.09022204	1
ENSMUSG00000044338	-6.1821036	-0.97562826	0.058807865	1
ENSMUSG00000002633	-5.798342	-0.96575683	-0.09090465	1
ENSMUSG00000069722	-7.0414987	-0.5991409	0.07124139	1
ENSMUSG00000067713	7.9231424	-5.658061	0.12454024	0
ENSMUSG00000021591	6.69919	9.142038	-0.00480699	2
ENSMUSG00000069184	-0.5533071	4.267754	0.28799152	1
ENSMUSG00000027171	-5.6172733	-1.044523	-0.08280692	1
ENSMUSG00000031539	-1.0081642	-2.9947462	0.39690718	1
ENSMUSG00000075145	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000022221	-2.8187864	-1.6633646	-0.38482913	1
