location	term	study_count	accessions	cluster_count	best_fdr_bh	max_overlap	example_clusters
FLT	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	7.510776317607378e-34	71	OSD-463:FLT6;OSD-245:FLT8;OSD-168:FLT7;OSD-379:FLT8;OSD-48:FLT10;OSD-137:FLT3;OSD-137:FLT8;OSD-48:FLT7
GC	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	9	4.4688809738700216e-31	38	OSD-463:GC4;OSD-48:GC3;OSD-245:GC7;OSD-137:GC6;OSD-379:GC9;OSD-168:GC8;OSD-168:GC5;OSD-379:GC5
FLT	REACTOME_METABOLISM_OF_RNA	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	23	7.058621203965065e-31	80	OSD-48:FLT10;OSD-245:FLT8;OSD-463:FLT6;OSD-168:FLT4;OSD-379:FLT8;OSD-137:FLT8;OSD-463:FLT4;OSD-137:FLT3
GC	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	4.272371485550463e-27	68	OSD-245:GC7;OSD-168:GC8;OSD-463:GC4;OSD-379:GC9;OSD-137:GC10;OSD-48:GC3;OSD-137:GC6;OSD-48:GC9
FLT	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	5.53075071051028e-27	57	OSD-245:FLT8;OSD-168:FLT7;OSD-379:FLT8;OSD-463:FLT6;OSD-48:FLT10;OSD-137:FLT3;OSD-137:FLT8;OSD-48:FLT7
GC	REACTOME_BIOLOGICAL_OXIDATIONS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	1.6410692943085096e-26	61	OSD-168:GC8;OSD-245:GC7;OSD-379:GC9;OSD-48:GC3;OSD-137:GC10;OSD-463:GC4;OSD-137:GC6;OSD-379:GC5
FLT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	4.8508729169044504e-26	37	OSD-48:FLT10;OSD-379:FLT6;OSD-168:FLT4;OSD-463:FLT6;OSD-137:FLT3;OSD-463:FLT4;OSD-48:FLT7;OSD-245:FLT8
GC	REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	8	2.8897747977315007e-25	32	OSD-463:GC4;OSD-48:GC3;OSD-245:GC7;OSD-137:GC6;OSD-379:GC9;OSD-168:GC8;OSD-168:GC5;OSD-379:GC5
FLT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	3.3651662382661187e-25	37	OSD-48:FLT10;OSD-379:FLT6;OSD-168:FLT4;OSD-463:FLT6;OSD-137:FLT3;OSD-463:FLT4;OSD-48:FLT7;OSD-245:FLT8
FLT	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	4.251118666771314e-25	28	OSD-245:FLT8;OSD-48:FLT10;OSD-379:FLT8;OSD-463:FLT6;OSD-168:FLT7;OSD-168:FLT4;OSD-137:FLT3;OSD-137:FLT8
