gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000059479	6	2	2.560451586509324
ENSMUSG00000077239	1	3	0.4890055502717108
ENSMUSG00000031755	6	2	1.5741532192028767
ENSMUSG00000076253	0	0	0.43841443149948217
ENSMUSG00000038379	2	1	0.7050393502407327
ENSMUSG00000002109	10	2	1.8097369232535232
ENSMUSG00000041840	4	7	1.3336834277118932
ENSMUSG00000049691	0	0	0.43841443149948217
ENSMUSG00000021555	7	4	0.8816902174473824
ENSMUSG00000022814	3	9	0.8304383376798299
ENSMUSG00000028782	1	3	0.4687633447187327
ENSMUSG00000095028	2	2	1.4538702771221255
ENSMUSG00000057223	0	0	0.43841443149948217
ENSMUSG00000034413	6	2	2.4290874022437237
ENSMUSG00000087579	3	5	1.3819423662030696
ENSMUSG00000025127	9	8	1.938689301999451
ENSMUSG00000030222	10	2	1.4431088869071096
ENSMUSG00000040133	1	3	0.6142898917710397
ENSMUSG00000027845	4	7	1.288083988423121
ENSMUSG00000028003	3	5	1.259934539417051
ENSMUSG00000030054	1	1	0.7818141170588957
ENSMUSG00000093980	0	0	0.43841443149948217
ENSMUSG00000034227	1	3	0.8537375732369724
ENSMUSG00000003435	3	9	2.1715480426742753
ENSMUSG00000049280	10	2	1.4810109504392994
ENSMUSG00000022309	10	2	2.1551718223087533
ENSMUSG00000093460	2	1	0.522553725091579
ENSMUSG00000075064	0	0	0.43841443149948217
ENSMUSG00000029684	3	5	1.866021183836626
ENSMUSG00000027531	3	5	0.8723485797907137
ENSMUSG00000091541	2	1	1.1642761775134849
ENSMUSG00000031565	10	2	1.5553625426526803
ENSMUSG00000101078	0	0	0.43841443149948217
ENSMUSG00000070047	3	5	0.9833640490291163
ENSMUSG00000030057	9	8	0.9613601648956487
ENSMUSG00000050121	2	1	0.8818164420851803
ENSMUSG00000024353	2	1	1.882901666468875
ENSMUSG00000060002	9	8	1.8950479346057096
ENSMUSG00000054406	0	0	0.44283922074326726
ENSMUSG00000065569	0	0	0.43841443149948217
ENSMUSG00000034471	12	6	1.784909755730435
ENSMUSG00000028246	1	3	0.720132199288054
ENSMUSG00000092815	0	0	0.43841443149948217
ENSMUSG00000022749	11	4	1.0253329432643374
ENSMUSG00000029919	8	1	1.7275820899243208
ENSMUSG00000000739	10	2	1.2328796480837219
ENSMUSG00000037020	6	2	2.0163154645124224
ENSMUSG00000035933	7	4	0.6813723566422014
ENSMUSG00000116611	1	3	0.6417146306635081
ENSMUSG00000059639	0	0	0.43841443149948217
ENSMUSG00000028359	4	11	2.960840643683279
ENSMUSG00000021464	1	3	0.3401954028054015
ENSMUSG00000044338	2	2	0.7614016577073605
ENSMUSG00000002633	2	1	0.5245956940250549
ENSMUSG00000069722	0	0	0.43841443149948217
ENSMUSG00000067713	5	6	1.327454419648799
ENSMUSG00000021591	3	9	1.22456621491133
ENSMUSG00000069184	10	2	1.7915871524642848
ENSMUSG00000027171	2	1	0.8708035998999633
ENSMUSG00000031539	6	2	2.0545928124496573
ENSMUSG00000075145	0	0	0.43841443149948217
ENSMUSG00000022221	6	2	2.3419606697138438
ENSMUSG00000063386	2	1	1.011596190026815
ENSMUSG00000056782	10	2	2.561745189102349
ENSMUSG00000025410	3	9	2.104752864224843
ENSMUSG00000027332	9	8	1.544059006042369
ENSMUSG00000025268	4	10	1.631601661966566
ENSMUSG00000026519	5	6	1.7266994353703649
ENSMUSG00000043323	12	6	1.664008182819856
ENSMUSG00000060803	9	12	1.727147130043908
ENSMUSG00000026117	5	11	3.1024425495926398
ENSMUSG00000073906	0	0	0.43841443149948217
