term	reactome_id	name	url	n_genes
R-MMU-1362409_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	R-MMU-1362409	Mitochondrial iron-sulfur cluster biogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-1362409	12
R-MMU-1369007_MITOCHONDRIAL_ABC_TRANSPORTERS	R-MMU-1369007	Mitochondrial ABC transporters	https://reactome.org/PathwayBrowser/#/R-MMU-1369007	3
R-MMU-1369062_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	R-MMU-1369062	ABC transporters in lipid homeostasis	https://reactome.org/PathwayBrowser/#/R-MMU-1369062	17
R-MMU-139853_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	R-MMU-139853	Elevation of cytosolic Ca2+ levels	https://reactome.org/PathwayBrowser/#/R-MMU-139853	13
R-MMU-139910_ACTIVATION_OF_BMF_AND_TRANSLOCATION_TO_MITOCHONDRIA	R-MMU-139910	Activation of BMF and translocation to mitochondria	https://reactome.org/PathwayBrowser/#/R-MMU-139910	3
R-MMU-140179_AMINE_OXIDASE_REACTIONS	R-MMU-140179	Amine Oxidase reactions	https://reactome.org/PathwayBrowser/#/R-MMU-140179	4
R-MMU-140180_COX_REACTIONS	R-MMU-140180	COX reactions	https://reactome.org/PathwayBrowser/#/R-MMU-140180	1
R-MMU-140342_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	R-MMU-140342	Apoptosis induced DNA fragmentation	https://reactome.org/PathwayBrowser/#/R-MMU-140342	12
R-MMU-140534_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	R-MMU-140534	Caspase activation via Death Receptors in the presence of ligand	https://reactome.org/PathwayBrowser/#/R-MMU-140534	15
R-MMU-141333_BIOGENIC_AMINES_ARE_OXIDATIVELY_DEAMINATED_TO_ALDEHYDES_BY_MAOA_AND_MAOB	R-MMU-141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	https://reactome.org/PathwayBrowser/#/R-MMU-141333	2
R-MMU-141334_PAOS_OXIDISE_POLYAMINES_TO_AMINES	R-MMU-141334	PAOs oxidise polyamines to amines	https://reactome.org/PathwayBrowser/#/R-MMU-141334	2
R-MMU-141405_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	R-MMU-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	https://reactome.org/PathwayBrowser/#/R-MMU-141405	21
R-MMU-141424_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	R-MMU-141424	Amplification of signal from the kinetochores	https://reactome.org/PathwayBrowser/#/R-MMU-141424	93
R-MMU-141430_INACTIVATION_OF_APC_C_VIA_DIRECT_INHIBITION_OF_THE_APC_C_COMPLEX	R-MMU-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	https://reactome.org/PathwayBrowser/#/R-MMU-141430	21
R-MMU-141444_AMPLIFICATION_OF_SIGNAL_FROM_UNATTACHED_KINETOCHORES_VIA_A_MAD2_INHIBITORY_SIGNAL	R-MMU-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	https://reactome.org/PathwayBrowser/#/R-MMU-141444	93
R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	R-MMU-1428517	Aerobic respiration and respiratory electron transport	https://reactome.org/PathwayBrowser/#/R-MMU-1428517	240
R-MMU-1430728_METABOLISM	R-MMU-1430728	Metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-1430728	1843
R-MMU-1433557_SIGNALING_BY_SCF_KIT	R-MMU-1433557	Signaling by SCF-KIT	https://reactome.org/PathwayBrowser/#/R-MMU-1433557	36
R-MMU-1433559_REGULATION_OF_KIT_SIGNALING	R-MMU-1433559	Regulation of KIT signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1433559	13
R-MMU-1442490_COLLAGEN_DEGRADATION	R-MMU-1442490	Collagen degradation	https://reactome.org/PathwayBrowser/#/R-MMU-1442490	48
