term	reactome_id	name	url	n_genes
R-MMU-2046104_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	R-MMU-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2046104	13
R-MMU-2046105_LINOLEIC_ACID_LA_METABOLISM	R-MMU-2046105	Linoleic acid (LA) metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2046105	8
R-MMU-2046106_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	R-MMU-2046106	alpha-linolenic acid (ALA) metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2046106	13
R-MMU-204626_HYPUSINE_SYNTHESIS_FROM_EIF5A_LYSINE	R-MMU-204626	Hypusine synthesis from eIF5A-lysine	https://reactome.org/PathwayBrowser/#/R-MMU-204626	5
R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	R-MMU-204998	Cell death signalling via NRAGE, NRIF and NADE	https://reactome.org/PathwayBrowser/#/R-MMU-204998	71
R-MMU-205017_NFG_AND_PRONGF_BINDS_TO_P75NTR	R-MMU-205017	NFG and proNGF binds to p75NTR	https://reactome.org/PathwayBrowser/#/R-MMU-205017	2
R-MMU-205025_NADE_MODULATES_DEATH_SIGNALLING	R-MMU-205025	NADE modulates death signalling	https://reactome.org/PathwayBrowser/#/R-MMU-205025	6
R-MMU-205043_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	R-MMU-205043	NRIF signals cell death from the nucleus	https://reactome.org/PathwayBrowser/#/R-MMU-205043	15
R-MMU-209543_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	R-MMU-209543	p75NTR recruits signalling complexes	https://reactome.org/PathwayBrowser/#/R-MMU-209543	14
R-MMU-209560_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	R-MMU-209560	NF-kB is activated and signals survival	https://reactome.org/PathwayBrowser/#/R-MMU-209560	14
R-MMU-209563_AXONAL_GROWTH_STIMULATION	R-MMU-209563	Axonal growth stimulation	https://reactome.org/PathwayBrowser/#/R-MMU-209563	4
R-MMU-209776_METABOLISM_OF_AMINE_DERIVED_HORMONES	R-MMU-209776	Metabolism of amine-derived hormones	https://reactome.org/PathwayBrowser/#/R-MMU-209776	21
R-MMU-209822_GLYCOPROTEIN_HORMONES	R-MMU-209822	Glycoprotein hormones	https://reactome.org/PathwayBrowser/#/R-MMU-209822	9
R-MMU-209905_CATECHOLAMINE_BIOSYNTHESIS	R-MMU-209905	Catecholamine biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-209905	4
R-MMU-209931_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	R-MMU-209931	Serotonin and melatonin biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-209931	5
R-MMU-209952_PEPTIDE_HORMONE_BIOSYNTHESIS	R-MMU-209952	Peptide hormone biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-209952	11
R-MMU-209968_THYROXINE_BIOSYNTHESIS	R-MMU-209968	Thyroxine biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-209968	13
R-MMU-210455_ASTROCYTIC_GLUTAMATE_GLUTAMINE_UPTAKE_AND_METABOLISM	R-MMU-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-210455	4
R-MMU-210500_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	R-MMU-210500	Glutamate Neurotransmitter Release Cycle	https://reactome.org/PathwayBrowser/#/R-MMU-210500	24
R-MMU-210745_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	R-MMU-210745	Regulation of gene expression in beta cells	https://reactome.org/PathwayBrowser/#/R-MMU-210745	4
R-MMU-210990_PECAM1_INTERACTIONS	R-MMU-210990	PECAM1 interactions	https://reactome.org/PathwayBrowser/#/R-MMU-210990	12
R-MMU-210991_BASIGIN_INTERACTIONS	R-MMU-210991	Basigin interactions	https://reactome.org/PathwayBrowser/#/R-MMU-210991	24
R-MMU-210993_TIE2_SIGNALING	R-MMU-210993	Tie2 Signaling	https://reactome.org/PathwayBrowser/#/R-MMU-210993	17
R-MMU-211000_GENE_SILENCING_BY_RNA	R-MMU-211000	Gene Silencing by RNA	https://reactome.org/PathwayBrowser/#/R-MMU-211000	12
R-MMU-211163_AKT_MEDIATED_INACTIVATION_OF_FOXO1A	R-MMU-211163	AKT-mediated inactivation of FOXO1A	https://reactome.org/PathwayBrowser/#/R-MMU-211163	4
R-MMU-211859_BIOLOGICAL_OXIDATIONS	R-MMU-211859	Biological oxidations	https://reactome.org/PathwayBrowser/#/R-MMU-211859	214
R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	R-MMU-211897	Cytochrome P450 - arranged by substrate type	https://reactome.org/PathwayBrowser/#/R-MMU-211897	75
R-MMU-211916_VITAMINS	R-MMU-211916	Vitamins	https://reactome.org/PathwayBrowser/#/R-MMU-211916	6
R-MMU-211935_FATTY_ACIDS	R-MMU-211935	Fatty acids	https://reactome.org/PathwayBrowser/#/R-MMU-211935	23
R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	R-MMU-211945	Phase I - Functionalization of compounds	https://reactome.org/PathwayBrowser/#/R-MMU-211945	111
R-MMU-211957_AROMATIC_AMINES_CAN_BE_N_HYDROXYLATED_OR_N_DEALKYLATED_BY_CYP1A2	R-MMU-211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	https://reactome.org/PathwayBrowser/#/R-MMU-211957	1
R-MMU-211958_MISCELLANEOUS_SUBSTRATES	R-MMU-211958	Miscellaneous substrates	https://reactome.org/PathwayBrowser/#/R-MMU-211958	27
R-MMU-211976_ENDOGENOUS_STEROLS	R-MMU-211976	Endogenous sterols	https://reactome.org/PathwayBrowser/#/R-MMU-211976	26
R-MMU-211979_EICOSANOIDS	R-MMU-211979	Eicosanoids	https://reactome.org/PathwayBrowser/#/R-MMU-211979	17
R-MMU-211981_XENOBIOTICS	R-MMU-211981	Xenobiotics	https://reactome.org/PathwayBrowser/#/R-MMU-211981	29
R-MMU-211994_STEROLS_ARE_12_HYDROXYLATED_BY_CYP8B1	R-MMU-211994	Sterols are 12-hydroxylated by CYP8B1	https://reactome.org/PathwayBrowser/#/R-MMU-211994	1
R-MMU-211999_CYP2E1_REACTIONS	R-MMU-211999	CYP2E1 reactions	https://reactome.org/PathwayBrowser/#/R-MMU-211999	11
R-MMU-212165_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	R-MMU-212165	Epigenetic regulation of gene expression	https://reactome.org/PathwayBrowser/#/R-MMU-212165	215
R-MMU-2122947_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	R-MMU-2122947	NOTCH1 Intracellular Domain Regulates Transcription	https://reactome.org/PathwayBrowser/#/R-MMU-2122947	9
R-MMU-2122948_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	R-MMU-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	https://reactome.org/PathwayBrowser/#/R-MMU-2122948	11
R-MMU-212300_PRC2_METHYLATES_HISTONES_AND_DNA	R-MMU-212300	PRC2 methylates histones and DNA	https://reactome.org/PathwayBrowser/#/R-MMU-212300	82
R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	R-MMU-212436	Generic Transcription Pathway	https://reactome.org/PathwayBrowser/#/R-MMU-212436	840
R-MMU-212676_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	R-MMU-212676	Dopamine Neurotransmitter Release Cycle	https://reactome.org/PathwayBrowser/#/R-MMU-212676	23
R-MMU-212718_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	R-MMU-212718	EGFR interacts with phospholipase C-gamma	https://reactome.org/PathwayBrowser/#/R-MMU-212718	9
R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	R-MMU-2129379	Molecules associated with elastic fibres	https://reactome.org/PathwayBrowser/#/R-MMU-2129379	32
R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	R-MMU-2132295	MHC class II antigen presentation	https://reactome.org/PathwayBrowser/#/R-MMU-2132295	110
R-MMU-2142670_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	R-MMU-2142670	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	https://reactome.org/PathwayBrowser/#/R-MMU-2142670	7
R-MMU-2142688_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS	R-MMU-2142688	Synthesis of 5-eicosatetraenoic acids	https://reactome.org/PathwayBrowser/#/R-MMU-2142688	6
R-MMU-2142691_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	R-MMU-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)	https://reactome.org/PathwayBrowser/#/R-MMU-2142691	26
R-MMU-2142696_SYNTHESIS_OF_HEPOXILINS_HX_AND_TRIOXILINS_TRX	R-MMU-2142696	Synthesis of Hepoxilins (HX) and Trioxilins (TrX)	https://reactome.org/PathwayBrowser/#/R-MMU-2142696	1
R-MMU-2142700_BIOSYNTHESIS_OF_LIPOXINS_LX	R-MMU-2142700	Biosynthesis of Lipoxins (LX)	https://reactome.org/PathwayBrowser/#/R-MMU-2142700	5
R-MMU-2142712_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	R-MMU-2142712	Synthesis of 12-eicosatetraenoic acid derivatives	https://reactome.org/PathwayBrowser/#/R-MMU-2142712	7
R-MMU-2142753_ARACHIDONATE_METABOLISM	R-MMU-2142753	Arachidonate metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2142753	67
R-MMU-2142770_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	R-MMU-2142770	Synthesis of 15-eicosatetraenoic acid derivatives	https://reactome.org/PathwayBrowser/#/R-MMU-2142770	6
R-MMU-2142789_UBIQUINOL_BIOSYNTHESIS	R-MMU-2142789	Ubiquinol biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-2142789	13
R-MMU-2142816_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	R-MMU-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	https://reactome.org/PathwayBrowser/#/R-MMU-2142816	11
R-MMU-2142845_HYALURONAN_METABOLISM	R-MMU-2142845	Hyaluronan metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2142845	20
R-MMU-2151201_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	R-MMU-2151201	Transcriptional activation of mitochondrial biogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-2151201	11
R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	R-MMU-216083	Integrin cell surface interactions	https://reactome.org/PathwayBrowser/#/R-MMU-216083	73
R-MMU-2160916_HYALURONAN_DEGRADATION	R-MMU-2160916	Hyaluronan degradation	https://reactome.org/PathwayBrowser/#/R-MMU-2160916	16
R-MMU-2161517_ABACAVIR_TRANSMEMBRANE_TRANSPORT	R-MMU-2161517	Abacavir transmembrane transport	https://reactome.org/PathwayBrowser/#/R-MMU-2161517	3
R-MMU-2161522_ABACAVIR_ADME	R-MMU-2161522	Abacavir ADME	https://reactome.org/PathwayBrowser/#/R-MMU-2161522	6
R-MMU-2161541_ABACAVIR_METABOLISM	R-MMU-2161541	Abacavir metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2161541	3
R-MMU-2162123_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	R-MMU-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	https://reactome.org/PathwayBrowser/#/R-MMU-2162123	20
R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	R-MMU-2168880	Scavenging of heme from plasma	https://reactome.org/PathwayBrowser/#/R-MMU-2168880	126
R-MMU-2172127_DAP12_INTERACTIONS	R-MMU-2172127	DAP12 interactions	https://reactome.org/PathwayBrowser/#/R-MMU-2172127	36
R-MMU-217271_FMO_OXIDISES_NUCLEOPHILES	R-MMU-217271	FMO oxidises nucleophiles	https://reactome.org/PathwayBrowser/#/R-MMU-217271	3
R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	https://reactome.org/PathwayBrowser/#/R-MMU-2173782	142
R-MMU-2173788_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	R-MMU-2173788	Downregulation of TGF-beta receptor signaling	https://reactome.org/PathwayBrowser/#/R-MMU-2173788	17
R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	R-MMU-2173789	TGF-beta receptor signaling activates SMADs	https://reactome.org/PathwayBrowser/#/R-MMU-2173789	38
R-MMU-2173791_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	R-MMU-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	https://reactome.org/PathwayBrowser/#/R-MMU-2173791	16
R-MMU-2173793_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	R-MMU-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	https://reactome.org/PathwayBrowser/#/R-MMU-2173793	40
R-MMU-2173795_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	https://reactome.org/PathwayBrowser/#/R-MMU-2173795	24
R-MMU-2173796_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	R-MMU-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	https://reactome.org/PathwayBrowser/#/R-MMU-2173796	26
R-MMU-2179392_EGFR_TRANSACTIVATION_BY_GASTRIN	R-MMU-2179392	EGFR Transactivation by Gastrin	https://reactome.org/PathwayBrowser/#/R-MMU-2179392	7
R-MMU-2187335_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION	R-MMU-2187335	The retinoid cycle in cones (daylight vision)	https://reactome.org/PathwayBrowser/#/R-MMU-2187335	6
R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	R-MMU-2187338	Visual phototransduction	https://reactome.org/PathwayBrowser/#/R-MMU-2187338	95
R-MMU-2214320_ANCHORING_FIBRIL_FORMATION	R-MMU-2214320	Anchoring fibril formation	https://reactome.org/PathwayBrowser/#/R-MMU-2214320	4
R-MMU-2243919_CROSSLINKING_OF_COLLAGEN_FIBRILS	R-MMU-2243919	Crosslinking of collagen fibrils	https://reactome.org/PathwayBrowser/#/R-MMU-2243919	14
R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	R-MMU-2262752	Cellular responses to stress	https://reactome.org/PathwayBrowser/#/R-MMU-2262752	505
R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	R-MMU-2299718	Condensation of Prophase Chromosomes	https://reactome.org/PathwayBrowser/#/R-MMU-2299718	79
R-MMU-2393930_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS	R-MMU-2393930	Phosphate bond hydrolysis by NUDT proteins	https://reactome.org/PathwayBrowser/#/R-MMU-2393930	7
R-MMU-2395516_ELECTRON_TRANSPORT_FROM_NADPH_TO_FERREDOXIN	R-MMU-2395516	Electron transport from NADPH to Ferredoxin	https://reactome.org/PathwayBrowser/#/R-MMU-2395516	3
R-MMU-2404192_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	R-MMU-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	https://reactome.org/PathwayBrowser/#/R-MMU-2404192	46
R-MMU-2408508_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE	R-MMU-2408508	Metabolism of ingested SeMet, Sec, MeSec into H2Se	https://reactome.org/PathwayBrowser/#/R-MMU-2408508	2
R-MMU-2408522_SELENOAMINO_ACID_METABOLISM	R-MMU-2408522	Selenoamino acid metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2408522	4
R-MMU-2408557_SELENOCYSTEINE_SYNTHESIS	R-MMU-2408557	Selenocysteine synthesis	https://reactome.org/PathwayBrowser/#/R-MMU-2408557	1
R-MMU-2424491_DAP12_SIGNALING	R-MMU-2424491	DAP12 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-2424491	29
R-MMU-2428924_IGF1R_SIGNALING_CASCADE	R-MMU-2428924	IGF1R signaling cascade	https://reactome.org/PathwayBrowser/#/R-MMU-2428924	45
R-MMU-2428928_IRS_RELATED_EVENTS_TRIGGERED_BY_IGF1R	R-MMU-2428928	IRS-related events triggered by IGF1R	https://reactome.org/PathwayBrowser/#/R-MMU-2428928	44
R-MMU-2428933_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R	R-MMU-2428933	SHC-related events triggered by IGF1R	https://reactome.org/PathwayBrowser/#/R-MMU-2428933	6
R-MMU-2453902_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	R-MMU-2453902	The canonical retinoid cycle in rods (twilight vision)	https://reactome.org/PathwayBrowser/#/R-MMU-2453902	20
R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	https://reactome.org/PathwayBrowser/#/R-MMU-2454202	211
R-MMU-2465910_MASTL_FACILITATES_MITOTIC_PROGRESSION	R-MMU-2465910	MASTL Facilitates Mitotic Progression	https://reactome.org/PathwayBrowser/#/R-MMU-2465910	2
R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	R-MMU-2467813	Separation of Sister Chromatids	https://reactome.org/PathwayBrowser/#/R-MMU-2467813	173
R-MMU-2468052_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	R-MMU-2468052	Establishment of Sister Chromatid Cohesion	https://reactome.org/PathwayBrowser/#/R-MMU-2468052	11
R-MMU-2470946_COHESIN_LOADING_ONTO_CHROMATIN	R-MMU-2470946	Cohesin Loading onto Chromatin	https://reactome.org/PathwayBrowser/#/R-MMU-2470946	10
R-MMU-2473224_ANTAGONISM_OF_ACTIVIN_BY_FOLLISTATIN	R-MMU-2473224	Antagonism of Activin by Follistatin	https://reactome.org/PathwayBrowser/#/R-MMU-2473224	4
R-MMU-2485179_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	R-MMU-2485179	Activation of the phototransduction cascade	https://reactome.org/PathwayBrowser/#/R-MMU-2485179	8
R-MMU-2500257_RESOLUTION_OF_SISTER_CHROMATID_COHESION	R-MMU-2500257	Resolution of Sister Chromatid Cohesion	https://reactome.org/PathwayBrowser/#/R-MMU-2500257	122
R-MMU-2514853_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	R-MMU-2514853	Condensation of Prometaphase Chromosomes	https://reactome.org/PathwayBrowser/#/R-MMU-2514853	8
R-MMU-2514856_THE_PHOTOTRANSDUCTION_CASCADE	R-MMU-2514856	The phototransduction cascade	https://reactome.org/PathwayBrowser/#/R-MMU-2514856	30
R-MMU-2514859_INACTIVATION_RECOVERY_AND_REGULATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	R-MMU-2514859	Inactivation, recovery and regulation of the phototransduction cascade	https://reactome.org/PathwayBrowser/#/R-MMU-2514859	29
R-MMU-2534343_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	R-MMU-2534343	Interaction With Cumulus Cells And The Zona Pellucida	https://reactome.org/PathwayBrowser/#/R-MMU-2534343	10
R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	R-MMU-2555396	Mitotic Metaphase and Anaphase	https://reactome.org/PathwayBrowser/#/R-MMU-2555396	211
R-MMU-2559580_OXIDATIVE_STRESS_INDUCED_SENESCENCE	R-MMU-2559580	Oxidative Stress Induced Senescence	https://reactome.org/PathwayBrowser/#/R-MMU-2559580	39
R-MMU-2559582_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	R-MMU-2559582	Senescence-Associated Secretory Phenotype (SASP)	https://reactome.org/PathwayBrowser/#/R-MMU-2559582	40
R-MMU-2559583_CELLULAR_SENESCENCE	R-MMU-2559583	Cellular Senescence	https://reactome.org/PathwayBrowser/#/R-MMU-2559583	154
R-MMU-2559584_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	R-MMU-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	https://reactome.org/PathwayBrowser/#/R-MMU-2559584	16
R-MMU-2559585_ONCOGENE_INDUCED_SENESCENCE	R-MMU-2559585	Oncogene Induced Senescence	https://reactome.org/PathwayBrowser/#/R-MMU-2559585	17
R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	R-MMU-2559586	DNA Damage/Telomere Stress Induced Senescence	https://reactome.org/PathwayBrowser/#/R-MMU-2559586	87
R-MMU-2562578_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	R-MMU-2562578	TRIF-mediated programmed cell death	https://reactome.org/PathwayBrowser/#/R-MMU-2562578	9
R-MMU-2565942_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	R-MMU-2565942	Regulation of PLK1 Activity at G2/M Transition	https://reactome.org/PathwayBrowser/#/R-MMU-2565942	85
R-MMU-264642_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	R-MMU-264642	Acetylcholine Neurotransmitter Release Cycle	https://reactome.org/PathwayBrowser/#/R-MMU-264642	17
R-MMU-264870_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	R-MMU-264870	Caspase-mediated cleavage of cytoskeletal proteins	https://reactome.org/PathwayBrowser/#/R-MMU-264870	12
R-MMU-264876_INSULIN_PROCESSING	R-MMU-264876	Insulin processing	https://reactome.org/PathwayBrowser/#/R-MMU-264876	13
R-MMU-2672351_STIMULI_SENSING_CHANNELS	R-MMU-2672351	Stimuli-sensing channels	https://reactome.org/PathwayBrowser/#/R-MMU-2672351	101
R-MMU-2682334_EPH_EPHRIN_SIGNALING	R-MMU-2682334	EPH-Ephrin signaling	https://reactome.org/PathwayBrowser/#/R-MMU-2682334	64
R-MMU-2730905_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	https://reactome.org/PathwayBrowser/#/R-MMU-2730905	118
R-MMU-2855086_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE	R-MMU-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	https://reactome.org/PathwayBrowser/#/R-MMU-2855086	4
R-MMU-2871796_FCERI_MEDIATED_MAPK_ACTIVATION	R-MMU-2871796	FCERI mediated MAPK activation	https://reactome.org/PathwayBrowser/#/R-MMU-2871796	135
R-MMU-2871809_FCERI_MEDIATED_CA_2_MOBILIZATION	R-MMU-2871809	FCERI mediated Ca+2 mobilization	https://reactome.org/PathwayBrowser/#/R-MMU-2871809	131
R-MMU-2871837_FCERI_MEDIATED_NF_KB_ACTIVATION	R-MMU-2871837	FCERI mediated NF-kB activation	https://reactome.org/PathwayBrowser/#/R-MMU-2871837	168
R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	R-MMU-2980736	Peptide hormone metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-2980736	62
R-MMU-2980766_NUCLEAR_ENVELOPE_BREAKDOWN	R-MMU-2980766	Nuclear Envelope Breakdown	https://reactome.org/PathwayBrowser/#/R-MMU-2980766	47
R-MMU-2980767_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	R-MMU-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	https://reactome.org/PathwayBrowser/#/R-MMU-2980767	5
R-MMU-2990846_SUMOYLATION	R-MMU-2990846	SUMOylation	https://reactome.org/PathwayBrowser/#/R-MMU-2990846	166
R-MMU-2995383_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	R-MMU-2995383	Initiation of Nuclear Envelope (NE) Reformation	https://reactome.org/PathwayBrowser/#/R-MMU-2995383	17
R-MMU-2995410_NUCLEAR_ENVELOPE_NE_REASSEMBLY	R-MMU-2995410	Nuclear Envelope (NE) Reassembly	https://reactome.org/PathwayBrowser/#/R-MMU-2995410	65
R-MMU-3000157_LAMININ_INTERACTIONS	R-MMU-3000157	Laminin interactions	https://reactome.org/PathwayBrowser/#/R-MMU-3000157	11
R-MMU-3000170_SYNDECAN_INTERACTIONS	R-MMU-3000170	Syndecan interactions	https://reactome.org/PathwayBrowser/#/R-MMU-3000170	14
R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	R-MMU-3000171	Non-integrin membrane-ECM interactions	https://reactome.org/PathwayBrowser/#/R-MMU-3000171	54
R-MMU-3000178_ECM_PROTEOGLYCANS	R-MMU-3000178	ECM proteoglycans	https://reactome.org/PathwayBrowser/#/R-MMU-3000178	40
R-MMU-3000471_SCAVENGING_BY_CLASS_B_RECEPTORS	R-MMU-3000471	Scavenging by Class B Receptors	https://reactome.org/PathwayBrowser/#/R-MMU-3000471	8
R-MMU-3000480_SCAVENGING_BY_CLASS_A_RECEPTORS	R-MMU-3000480	Scavenging by Class A Receptors	https://reactome.org/PathwayBrowser/#/R-MMU-3000480	8
R-MMU-3000497_SCAVENGING_BY_CLASS_H_RECEPTORS	R-MMU-3000497	Scavenging by Class H Receptors	https://reactome.org/PathwayBrowser/#/R-MMU-3000497	4
R-MMU-3065676_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	R-MMU-3065676	SUMO is conjugated to E1 (UBA2:SAE1)	https://reactome.org/PathwayBrowser/#/R-MMU-3065676	3
R-MMU-3065678_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9	R-MMU-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	https://reactome.org/PathwayBrowser/#/R-MMU-3065678	5
R-MMU-3065679_SUMO_IS_PROTEOLYTICALLY_PROCESSED	R-MMU-3065679	SUMO is proteolytically processed	https://reactome.org/PathwayBrowser/#/R-MMU-3065679	6
R-MMU-3108214_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	R-MMU-3108214	SUMOylation of DNA damage response and repair proteins	https://reactome.org/PathwayBrowser/#/R-MMU-3108214	75
R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	R-MMU-3108232	SUMO E3 ligases SUMOylate target proteins	https://reactome.org/PathwayBrowser/#/R-MMU-3108232	160
R-MMU-3134963_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION	R-MMU-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	https://reactome.org/PathwayBrowser/#/R-MMU-3134963	7
R-MMU-3134973_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION	R-MMU-3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	https://reactome.org/PathwayBrowser/#/R-MMU-3134973	3
